risk	disease	IVs	P	eff
bf	asthma	10	0.58492480503579	0.0262482026120003	
ldl	asthma	174	0.787731727158804	0.00308213079135283	
ldl	t2d	180	0.000188976725218559	-0.0684603791372046	
sbp	asthma	1054	0.00775784453675898	0.159065091313112	
sbp	t2d	1093	1.57777702014528e-09	0.0835660685232707	
hdl	t2d	202	0.000164972334077085	-0.0517601468381785	
tg	cad	134	7.7715611723761e-15	0.0512530140830267	
dbp	asthma	1116	0.000128587696710536	0.16708434380358	
sbp	cad	1334	3.09776562101849e-05	0.0532983462131502	
bw	t2d	54	0.00100155637564869	-0.111519487292906	
smoking	stroke	125	0.000554540037685181	0.0934367190320066	
bmi	t2d	103	0	0.340222175963024	
fg	asthma	17	0.0409968903508151	-0.0371813368336125	
alcohol	t2d	43	0.938765077016932	0.00583999880737354	
dbp	t2d	1168	0.313063310964026	0.049342552999978	
bw	asthma	51	0.192697232565365	0.0272120158208934	
bw	stroke	56	0.103307852192581	-0.0367527793848962	
tg	asthma	125	0.26981437740047	-0.0477354430145	
tg	stroke	119	0.552126330921343	0.00369835336731559	
tg	t2d	132	0.911672079548209	0.00501048152499157	
bf	cad	10	0.00294773154865613	0.0924962474735889	
dbp	cad	1409	0.000280657188630906	-0.0539491205993425	
hdl	asthma	197	0.616934671836194	0.0294321277453615	
ldl	cad	188	8.30446822419617e-14	0.0714232429752225	
bmi	asthma	101	0.00555797864376584	0.047125852131869	
bf	t2d	10	1.64313007644523e-14	0.618848737544903	
alcohol	cad	54	0.000556481333956027	0.0851910231840283	
fg	t2d	21	0.0209194205188832	0.14659935911438	
alcohol	stroke	53	0.236678058358478	0.0289703365970369	
hdl	cad	209	0	-0.156409070032554	
height	cad	5377	0	-0.104538628099574	
fg	cad	21	7.10170144913036e-10	0.0499450151563369	
smoking	t2d	113	0.426003138905433	0.077736254850353	
alcohol	asthma	41	0.552164863906558	-0.034762060857752	
smoking	cad	125	0	0.214342052216674	
bmi	stroke	102	0.00636000834132666	0.0272559095013035	
hdl	stroke	207	0.0353195463332514	-0.0135762527096228	
fg	stroke	20	0.827658315177422	0.00259418153199286	
ldl	stroke	184	0.16450222010625	0.00973300785027948	
bw	cad	58	0.338997453177408	-0.0585915525429628	
bf	stroke	10	0.970755359719368	-0.000788057788380009	
sbp	stroke	1313	0.105224165085878	0.0365698613116763	
height	t2d	5358	0.000184793183050092	0.0607886602506113	
bmi	cad	102	7.94737391451861e-08	0.0968419395820192	
smoking	asthma	110	0.562490649249165	0.0686205003986703	
dbp	stroke	1363	0.0615771479548222	-0.0442705532496811	
height	stroke	5357	1.85127709606547e-07	-0.0345178851991914	
height	asthma	5244	1.37667655053519e-14	-0.0937650340915439	
