risk	disease	IVs	P_random	eff_random	AIC_random	P_fixed	eff_fixed	AIC_fixed
bf	asthma	10	0.285866057438283	0.14590445781188	-49.6974770251793	0.285866057438283	0.14590445781188	-51.6974770251793
bmi	asthma	101	0.0277668110354403	0.132848826694743	-539.980326070013	0.0216194541821688	0.132848826694743	-541.980326070013
fg	stroke	20	0.387949280156465	0.0735348927799841	-98.2100393860627	0.619463346191082	0.0365571350052884	-98.8696522618436
hdl	asthma	197	0.599093988058398	-0.0149341004445166	-944.944421498695	0.599093993273642	-0.0149340975093949	-946.944421497372
fg	t2d	21	0.00366430812083476	1.08401097733105	-36.44773365896	0.148499234732665	0.493233723897418	-32.501925814841
fg	asthma	17	0.209371999130885	-0.172814120147972	-71.3049027002604	0.186516148003636	-0.172814120551267	-73.3049027023687
bmi	t2d	103	2.49024736159921e-16	0.800091982162983	-439.582113839636	1.32177094592045e-20	0.800091996386232	-441.582113704156
ldl	asthma	174	0.944758782025945	-0.00188686852228515	-818.97989652862	0.944758982809301	-0.00188686836584452	-820.979896528724
bf	t2d	10	0.932587365164329	0.0580641266920487	-16.7450425805203	0.0306286053915903	1.46185275733037	-21.1523832766243
bmi	stroke	102	0.0346183310050594	0.101671382873696	-564.200074756294	0.0346183311737041	0.101671374197418	-566.200074751143
tg	asthma	125	0.0332121962738042	-0.0926380218717362	-566.735038653708	0.0280883755418685	-0.0894819201940752	-568.225317889195
hdl	t2d	202	0.000880025281895955	-0.125658321090881	-876.793649802672	0.000880025260059839	-0.125658308523811	-878.793649817883
tg	stroke	119	0.637168573715441	0.0115284106036609	-668.874434398358	0.637168573715441	0.0115284106036609	-670.874434398358
hdl	stroke	207	0.0184190717287426	-0.0454028334705057	-1159.54120962254	0.0184190716528852	-0.0454028311840709	-1161.54120963078
sbp	asthma	1054	0.12883380060148	0.00306223035684134	-5493.6408557975	0.146811662351567	0.00285154390806218	-5492.85043383645
sbp	t2d	1093	1.2300854499452e-07	0.0134528328574819	-4893.11645089927	1.23008564242815e-07	0.0134528329017008	-4895.11645074844
bf	stroke	10	0.789279414698199	-0.0273533111580383	-56.9687049484051	0.789279414698199	-0.0273533111580383	-58.9687049484051
tg	t2d	132	0.449091703197914	0.0422453069689525	-533.664165406488	0.272729546500646	0.0521953758482956	-535.634618027907
bf	cad	10	0.824109039789046	-0.0658889294149808	-33.102658326404	0.329309305129096	0.364939330603744	-32.148867169942
fg	cad	21	0.00276769465362172	0.268029547435382	-102.19981511264	0.000105206867989456	0.268029553261721	-104.199815124075
ldl	stroke	184	0.000566328245660373	0.0711986743755465	-977.062728568279	7.22573383369937e-05	0.0711986717006736	-979.062728570592
