risk	disease	IVs	P_1	eff_1	AIC_1	gamma_1	gSigma2_1	prop_1	b_1	sigma2_1	b_prop_1	corTest_1	P_2	eff_2	AIC_2	gamma_2	prop_2	corTest_2	P_3	eff_3	AIC_3	gamma_3	prop_3	corTest_3	P_4	eff_4	AIC_4	gamma_4	prop_4	corTest_4
fg	asthma	17	1	-0.275874055314036	-64.8589861481145	-0.275874055314036_0.242320148445104	0_0.544032937667856	0.55119619502668_0.44880380497332	0.00351652874768037	0_0	0.5_0.5	0.0306647275225851	0.681447501150802	-0.172880547443751	-69.3052949119524	-0.172880547443751_-0.172869308821694	0.500000000000057_0.499999999999943	0.999967911463185	0.107829852685379	-0.271010917663099	-66.6515768928098	-0.271010917663099_0.221106370151309	0.545238505134733_0.454761494865267	0.0350496729888425	0.247913655277518	-0.349822072684552	-67.7776605224062	-0.349822072684552_0.251616769608828	0.543379271420315_0.456620728579686	0.00314035614955399	
bf	asthma	10	0.491982926433831	0.146010231076497	-43.6991317940093	0.146010231076497_0.146010760267425	0_0	0.500000000000006_0.499999999999994	0.00681635874971261	0_0	0.5_0.5	0.999998478757359	0.491982926433831	0.146010231076497	-47.6991317940093	0.146010231076497_0.146010760267425	0.500000000000006_0.499999999999994	0.999998478757359	0.515448528185303	0.144297637104916	-44.8653418522195	0.144297637104916_0.144297873492132	0.500000000000004_0.499999999999996	0.999999434181494	0.515448528185303	0.144297637104916	-48.8653418522195	0.144297637104916_0.144297873492132	0.500000000000004_0.499999999999996	0.999999434181494	
tg	stroke	119	0.833304911836955	0.0115301711527172	-662.87450823467	0.0115301711527172_0.0115302758891815	0_0	0.500000000000001_0.499999999999999	-0.00110062026756325	0_6.72483643067745e-05	0.496474296437478_0.503525703562522	0.999998423743739	0.833304903822118	0.0115288854098705	-666.874508236803	0.0115288854098705_0.0115315636129177	0.50000000000004_0.49999999999996	0.999959693747205	0.847947104010084	0.0120453131394967	-663.845252299224	0.0120453131394967_0.0120495988134235	0.50000000000006_0.49999999999994	0.999927878802838	0.847947105322488	0.0120449318113358	-667.845252298669	0.0120449318113358_0.0120499819850576	0.500000000000011_0.499999999999989	0.999915013465564	
hdl	stroke	207	0.344333444724888	-0.0454081915504574	-1153.54229258508	-0.0454091564781863_-0.0454081915504574	0_0	0.499999999999999_0.500000000000001	-0.000538839465731568	0_0.000121057390873888	0.511408517786574_0.488591482213426	0.999981998947735	0.344333448691753	-0.045405435763939	-1157.54229257121	-0.0454119039820977_-0.045405435763939	0.499999999999992_0.500000000000008	0.999879333208436	0.761738248996404	-0.0114483979113068	-1146.95661146874	-0.0804964688356222_-0.0114483979113068	0.499960164436861_0.500039835563139	0.0414951700433499	0.761738249478032	-0.0114484014187889	-1150.95661146954	-0.0804964580119511_-0.0114484014187889	0.499960165230286_0.500039834769714	0.0414952109836699	
bf	stroke	10	0.857824675682251	-0.0273632830725729	-50.9687558805587	-0.0273634253281576_-0.0273632830725729	0_0	0.5_0.5	-0.00115700680956801	0_0	0.5_0.5	0.999999540265709	0.857824675682251	-0.0273632830725729	-54.9687558805587	-0.0273634253281576_-0.0273632830725729	0.5_0.5	0.999999540265709	0.858894686316316	-0.0283575588870199	-52.216391199426	-0.0283575588870199_-0.0283570956813189	0.500000000000011_0.499999999999989	0.999998653197491	0.858894686316316	-0.0283575588870199	-56.216391199426	-0.0283575588870199_-0.0283570956813189	0.500000000000011_0.499999999999989	0.999998653197491	
fg	stroke	20	0.182084726937433	0.177144039523169	-93.4417059698438	-0.0597730078470662_0.177144039523169	0.0951009758789436_0	0.478323657949154_0.521676342050846	0.0113001600723809	0_0	0.5_0.5	0.0516505217248391	0.399201969648162	0.234561343847869	-95.725784242606	-0.097161950522792_0.234561343847869	0.487849425068698_0.512150574931302	0.00820153992436778	0.667097671738282	0.169994204242515	-94.8962051321402	-0.0602761789697767_0.169994204242515	0.482316961327156_0.517683038672844	0.0648897388952943	0.428713282799238	0.214095932877192	-97.6303493070477	-0.0962352619965361_0.214095932877192	0.489620167490621_0.510379832509379	0.0175019870008701	
bmi	asthma	101	0.692947369724556	0.132827224802893	-533.980461742383	0.132827224802893_0.132872696818927	0_0	0.500000000000167_0.499999999999833	0.000728881067208552	0_8.9636290022627e-05	0.501055806238919_0.498944193761081	0.999624200532077	0.692947369849577	0.132827224802893	-537.980461742383	0.132827224802893_0.132872696818927	0.500000000000167_0.499999999999833	0.999624200532077	0.702977135921348	0.157055519795555	-535.954794948382	0.108042628912593_0.157055519795555	0.499993850560961_0.500006149439039	0.604885604956778	0.703856184887739	0.146088769124568	-539.953899979469	0.120144996617661_0.146088769124568	0.499999440803967_0.500000559196033	0.783498119192031	
ldl	asthma	174	0.982340580100364	-0.00189026571754979	-812.979914270364	-0.00189036602483884_-0.00189026571754979	0_0	0.5_0.5	0.00258046090131817	0_0.000548250568432272	0.528546126985854_0.471453873014146	0.999998804220945	0.982341875229873	-0.00189036848729204	-816.979914269684	-0.00189036848729204_-0.0018902668252233	0.5_0.5	0.9999987880704	0.758613712333334	0.0116649034871625	-802.386919943087	-0.0667535456931843_0.0116649034871625	0.469871436947839_0.530128563052161	0.0783797726704196	0.0526245758014363	0.114761985637368	-788.174017346078	-0.130561452905334_0.114761985637368	0.499395060062311_0.500604939937689	3.07726002901632e-07	
bmi	stroke	102	0.359564961643406	0.101655461684165	-558.199186161716	0.101654887531417_0.101655461684165	0_0	0.499999999999991_0.500000000000009	0.00112347016961856	0_0.000139659524435149	0.495628567761815_0.504371432238184	0.999994520936136	0.359564959897471	0.101657081462178	-562.199186166558	0.101653263924191_0.101657081462178	0.499999999999965_0.500000000000035	0.999963569738504	0.673885211701844	0.0409257859714239	-556.677912137853	0.0409257859714239_0.222097765763911	0.505883848528001_0.494116151471999	0.0174686943163078	0.819312754407453	-0.0233103123330606	-557.794839939003	-0.0233103123330606_0.278485115573368	0.506647348228984_0.493352651771016	4.04986468360846e-06	
bf	t2d	10	0.0256337869713437	1.55745081166652	-18.8303038195547	-1.93007425915023_1.55745081166652	0.451143348670757_0	0.30374027390405_0.69625972609595	0.0058391783672613	0_3.30143946303695e-05	0.499789587715694_0.500210412284306	2.00864366028952e-07	0.000892174417233922	1.5168175287883	-22.3402264798623	-2.03141015627523_1.5168175287883	0.299871109114028_0.700128890885972	3.91879158012642e-08	0.0242596588623984	1.55275969338063	-20.8261752206512	-1.93465775975735_1.55275969338063	0.303579144294023_0.696420855705977	1.87496057346692e-07	3.79266779626949e-14	1.52422518033246	-24.2008042296671	-2.01227409070528_1.52422518033246	0.300051460250412_0.699948539749588	3.44906383453747e-08	
fg	t2d	21	0.529755318260779	0.165394785104146	-33.5646393676081	0.165394785104146_2.07420255447388	0.0690452638459449_0.0178575799884059	0.519884454620455_0.480115545379545	0.0139562417766728	0_0.00996362304456335	0.58472786655722_0.415272133442781	0.0183705923133388	0.956513952561106	0.00643340818357069	-36.9222129754622	0.00643340818357069_2.0295200268096	0.503154467195752_0.496845532804248	0.0174174498280477	0.181558958506983	2.93950514395922	-26.056922888004	0.218999526707161_2.93950514395922	0.466964968101633_0.533035031898367	0.000421801306267788	0.00409926005614893	0.495780010606464	36.5689028356535	0.495780010606464_3.62078735500908	0.643888762410725_0.356111237589275	1.05493829938297e-06	
hdl	asthma	197	0.835068264541558	-0.0149342755879256	-938.944425120178	-0.0149343671020941_-0.0149342755879256	0_0	0.5_0.500000000000001	-0.000759036854051996	0_0.000442057374409107	0.512979556643905_0.487020443356095	0.999998833712021	0.835068312252347	-0.0149343211364711	-942.944425110811	-0.0149343211364711_-0.0149343220874072	0.5_0.5	0.999999987880945	0.360308282496714	-0.0348067790647782	-934.288017694142	0.0763586973050112_-0.0348067790647782	0.476078529099013_0.523921470900987	0.0848033696742156	0.0721653595522393	-0.118890561988657	-909.024417469563	-0.118890561988657_0.155582001480664	0.508256609612522_0.491743390387478	4.33949853828608e-09	
bf	cad	10	0.0465697340098216	0.447692512100769	-31.871600053192	-0.665154332783615_0.447692512100769	0.373359641737775_0	0.49476961732527_0.50523038267473	-0.00477093814203597	0_0	0.5_0.5	0.000639034424697371	0.100775918328781	0.446193045171404	-32.8875330851915	-0.584497592454353_0.446193045171404	0.439036971879317_0.560963028120683	0.001488480124894	0.0535086414522021	0.427572949160863	-33.5834798519078	-0.690673065828854_0.427572949160863	0.474861284116316_0.525138715883684	0.000837002765142314	0.00551891496874625	0.326877991581536	-35.9509835590232	-1.26666238553892_0.326877991581536	0.309837003263847_0.690162996736153	1.63051051726981e-06	
bmi	t2d	103	3.15141609220435e-17	0.888474347126386	-433.804651728943	0.140866423683295_0.888474347126386	5.19021071760051_0.0206255944975609	0.343157581077093_0.656842418922907	0.00248751480798204	0_0	0.5_0.5	0.00186729546642628	2.00606036336071e-06	0.800162175960135	-437.593955004969	0.800162175960135_0.800163249860437	0.500000000000003_0.499999999999997	0.999996621187963	7.96735416570292e-17	0.891033969039761	-433.87687993129	0.152547093594276_0.891033969039761	0.344138582109449_0.655861417890551	0.00225785051259164	0.00392896248818445	1.14770360716521	-209.954044484933	0.0574713751575149_1.14770360716521	0.432790219349028_0.567209780650972	5.63500028860631e-08	
hdl	t2d	202	0.257614591657564	-0.143961083631216	-870.800607618534	-0.143961083631216_-0.10670511236068	0_0.00171625743095893	0.500063641639237_0.499936358360763	0.00143582652252202	0_0.000883609988867897	0.515972812690292_0.484027187309708	0.693901007378019	0.258989184201428	-0.125646318345745	-874.793726568675	-0.125671146839654_-0.125646318345745	0.499999999999994_0.500000000000006	0.999789088477347	0.185624069466384	-0.054940627718081	-856.515975361423	-0.457850636683582_-0.054940627718081	0.446999947369719_0.553000052630281	2.93734952139246e-07	0.328490173373817	0.0444566439850303	-802.473187486453	-0.466019998974487_0.0444566439850303	0.469756201565272_0.530243798434728	0	
bmi	cad	102	0.00976568417252178	0.355474310183766	-560.402852257277	0.199898943079066_0.355474310183766	0.618298084421399_6.961692832253e-05	0.450191573148781_0.549808426851219	0.00117652640409304	0_0	0.5_0.5	0.0449436566151551	0.000938754195136781	0.319249067352957	-561.177881585766	0.319245459886227_0.319249067352957	0.499999999999997_0.500000000000003	0.99996918634807	1.49624035932447e-08	0.353892682118797	-560.334348559509	0.190416950002397_0.353892682118797	0.447009075763848_0.552990924236152	0.0369528937478363	0.109998718381065	0.504907535190381	-522.774456900405	0.0762498389899034_0.504907535190381	0.475673693523835_0.524326306476165	1.91070936850224e-10	
fg	cad	21	0.324634236540449	0.322917695672536	-97.4989810899363	0.0847067446984152_0.322917695672536	0.246183616938109_0	0.454268049219164_0.545731950780836	0.00156549014606851	0_0	0.5_0.5	0.0691090999078001	0.175281124625028	0.268021139751695	-100.198173494214	0.268021139751695_0.268021449247896	0.500000000000001_0.5	0.999998008606159	0.325411013812056	0.327345808647204	-99.0737119425498	0.0771335881140855_0.327345808647204	0.453938396112501_0.546061603887499	0.0481382475066201	0.214607806287888	0.387274466948686	-98.2309677763482	0.0211665771472823_0.387274466948686	0.435100506868046_0.564899493131954	0.000341095217848641	
