risk	disease	IVs	P_1	eff_1	mean_minClass	mean_maxClass	sd_minClass	sd_maxClass	min_interval	max_interval	CHVP_test	correct_factor	CHVP_test_correct	P_minClass	P_maxClass	P_minClass_mean	P_maxClass_mean	P_minClass_permut	P_minClass_permut	AIC_1	gamma_1	prop_1	corTest_1
sbp	cad	1334	2.33778528883021e-22	0.034709927645678	0.0335533300018287	0.0382455187195889	0.00230257292483271	0.00270323120673297	0.0292025041074749_0.0374178167189924	0.0340923531935013_0.0443346524418357	0.186372424809307	1.58926384707308	0.322277017906531	1.56147508930717e-47	4.42251762725428e-40	9.59454122315287e-45	1.91921262766137e-42	0	0	-7347.85522325411	0.034709927645678_0.0370419842939131	0.510372003852948_0.489627996147052	0.213206578482489	
dbp	cad	1409	9.28723329347376e-05	0.0606434887037751	0.0350866308751358	0.0664380736957928	0.0117416778181657	0.0116635322470964	0.010255879963321_0.0515803852354109	0.0507182918161437_0.0918845411026966	0.0581801053057427	1.53487319293156	0.110384785881829	0.000506543862882975	2.29390442396295e-07	0.00285473664768871	1.4891818311737e-08	0	0	-7721.67434389621	0.040924111376844_0.0606434887037751	0.497742735837147_0.502257264162853	7.01349963661002e-07	
smoking	cad	125	0.153426101822055	0.757413449602962	0.34219996840392	0.725310876534521	0.226312276619373	0.154000209397904	-0.075313435713895_0.699904060385968	0.458101748582308_1.02223285162721	0.16164943127171	1.78264213503956	0.32798852501151	0.193796066440615	2.71189445258285e-06	0.133060519987314	6.53066371166756e-06	0.132	0	-747.354983628493	0.295680053520095_0.757413449602962	0.490552609885755_0.509447390114245	0.000389439688748716	
sbp	stroke	1313	1.30317519873995e-05	0.0288139170591204	0.0225287286318371	0.0305092270134904	0.00391786582085429	0.0035912426795327	0.0123469853785305_0.0277025480249076	0.0252060764186135_0.0397439365109443	0.133207661109789	1.43250236098941	0.211703144536851	9.74302316424934e-10	2.26331325947073e-15	1.10724577090682e-08	5.27545107745724e-17	0	0	-7214.84936240083	0.0288139170591204_0.0241283766762158	0.501124628876572_0.498875371123428	0.0429127327618353	
dbp	stroke	1363	0.000236189435897506	0.0531237081890489	0.0308674153573633	0.054329409484132	0.00746322142690717	0.00637189936820251	0.0138348763133709_0.0441902844199466	0.0435230286378791_0.0680149802988387	0.0168099986851169	1.8837519353863	0.0512386186564441	1.92484459611327e-05	1.8387757359327e-16	3.75136562164572e-05	3.95360471906482e-17	0	0	-7489.10629501846	0.0320067083268294_0.0531237081890489	0.498956426173537_0.501043573826463	2.85584476067413e-08	
smoking	stroke	125	0.594142801460127	0.296361829406086	0.111341482975973	0.464020842073872	0.244868781097431	0.181051907757657	-0.374383123116594_0.465879725461369	0.168673030513659_0.84054195922341	0.246824063776079	1.27360121106943	0.321811718448791	0.228470284672993	0.104154191294369	0.650121137014637	0.0115750214591071	0.662	0	-732.618790100589	0.296361829406086_0.296392133207971	0.500000000000162_0.499999999999838	0.999830359718409	
ldl	cad	188	1.12337798876677e-19	0.367635621904901	0.337228824831423	0.472600227276606	0.0558493263481935	0.0660761291142157	0.230651799800329_0.41879800607121	0.365363327767596_0.620143398975356	0.117658271579756	1.26348484512735	0.160193807764564	4.52934527237075e-10	3.24092267797786e-10	8.22442746552872e-09	1.870613219793e-11	0	0	-894.632052205774	0.367635621904901_0.438993759166697	0.57385606516344_0.426143934836559	0.294680109958339	
smoking	t2d	113	0.92554889542219	-0.0626790886562704	-0.0420083497921917	0.509172986811005	0.26596202973499	0.351438071763025	-0.607543555052694_0.438361501584389	-0.0426382978774711_1.23169104440681	0.21107867200963	1.24833844577149	0.272526537879044	0.814119681213653	0.123690075500627	0.874781665798802	0.150179910267748	0.91	0.088	-541.184709056416	-0.0626790886562704_0.545128590402871	0.501113816569136_0.498886183430864	0.0625619487525166	
ldl	stroke	184	0.105767805387132	0.0712015559090812	0.0528499301603973	0.0847777049955517	0.0243207234579415	0.0307889571555127	-0.00730618444603965_0.0871244691594032	0.0383071917895818_0.157566862244105	0.415794837906229	1.03817757277418	0.430055108860841	0.0038495190604306	0.0218553892105898	0.031062278515482	0.00649068898500357	0.072	0	-971.064802838836	0.0712015559090812_0.0712035681960028	0.500000000000056_0.499999999999944	0.999963919108377	
bmi	cad	102	0.00970301121727245	0.35532393295588	0.178958616716513	0.365432450558579	0.135914039380913	0.0534357341782025	-0.131043336708309_0.379675700962757	0.271784612022443_0.471975921200388	0.201652183589185	1.32664073905083	0.280251701265993	0.144134606805223	1.52816536589858e-09	0.190917653142457	6.22628715479601e-10	0.208	0	-560.396251681881	0.200063191544338_0.35532393295588	0.450148363948996_0.549851636051004	0.0451893275050503	
tg	cad	134	0.00310302478573462	0.251062386034418	0.222100407582751	0.454085590458573	0.0750597784573007	0.105575717229624	0.0590743315082706_0.346960160313513	0.282776783175281_0.658891457336133	0.0733157553538906	1.23727946836615	0.0993377198604432	0.00107011906404631	7.35997704781101e-05	0.00365490068893157	3.26620100524557e-05	0.00800000000000001	0	-662.316600434457	0.432063658117149_0.251062386034418	0.492943847289388_0.507056152710612	0.00274980400905678	
bmi	t2d	103	3.11302804918803e-17	0.888596421382053	0.0837059746959727	0.921485386076615	0.531479328342467	0.128375611105052	-1.14656795868123_0.724089195747218	0.699906455836525_1.19465711812622	0.125460443278113	0.850957916704593	0.101942116128372	0.791749535512847	4.04337853789431e-10	0.875165157882092	1.17307159425068e-10	0.648	0	-433.828968304417	0.140700004838407_0.888596421382053	0.343156573703328_0.656843426296672	0.00185975847632136	
bf	cad	10	0.0465195582252609	0.447855216444338	-0.721276523700262	0.40022538756481	0.49196435737504	0.243692226943955	-1.61622704754179_0.398866354391539	-0.231409451144695_0.90239037176683	0.0410760322851707	0.399513533059083	0.0115899888185581	0.20942359995548	0.0992596018552767	0.176664296829367	0.134935407182977	0.14	0.142	-31.8731423884954	-0.665049765068029_0.447855216444338	0.494887881799854_0.505112118200146	0.000638353633677147	
bf	t2d	10	0.0256350142593287	1.55745366188419	-1.28413861185255	1.3165805615865	1.20768284206903	0.595549532309515	-2.66313737959467_1.56407339283153	-0.26700161608182_2.25692196747321	0.0534329893478989	0.272550280377619	0.00974061972173644	0.144472225777058	0.028032824747008	0.315338739682731	0.0543832169816717	0.346	0.14	-18.8303724028419	-1.93006794946002_1.55745366188419	0.303740398264193_0.696259601735807	2.00888019996626e-07	
fg	t2d	21	0.529192919625227	0.165556429243857	0.473506705047317	3.18518981210897	0.520921961983875	1.38849495413672	-0.217687541508358_1.61546670451122	1.49445920537793_6.77285898336136	0.0674720753573686	0.63341346247503	0.0360543860762081	0.75392024898829	0.150682397701642	0.374185716600508	0.032752866177881	0.338	0	-33.5647897305759	0.165556429243857_2.07496536162404	0.519970989686237_0.480029010313763	0.0183273722023967	
