risk	disease	IVs	P_random	eff_random	AIC_random	gamma_random	prop_random	eff_mean_minClass	sd_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass_mean	correct_factor	CHVP_test_correct
sbp	cad	1334	2.33778528883021e-22	0.034709927645678	-7347.85522325411	0.034709927645678_0.0370419842939131	0.510372003852948_0.489627996147052	0.0335533300018287	0.00230257292483271	9.59454122315287e-45	0.0382455187195889	0.00270323120673297	1.91921262766137e-42	1.58926384707308	0.322277017906531
dbp	cad	1409	9.28723329347376e-05	0.0606434887037751	-7721.67434389621	0.040924111376844_0.0606434887037751	0.497742735837147_0.502257264162853	0.0350866308751358	0.0117416778181657	0.00285473664768871	0.0664380736957928	0.0116635322470964	1.4891818311737e-08	1.53487319293156	0.110384785881829
smoking	cad	125	0.153426101822055	0.757413449602962	-747.354983628493	0.295680053520095_0.757413449602962	0.490552609885755_0.509447390114245	0.34219996840392	0.226312276619373	0.133060519987314	0.725310876534521	0.154000209397904	6.53066371166756e-06	1.78264213503956	0.32798852501151
sbp	stroke	1313	1.30317519873995e-05	0.0288139170591204	-7214.84936240083	0.0288139170591204_0.0241283766762158	0.501124628876572_0.498875371123428	0.0225287286318371	0.00391786582085429	1.10724577090682e-08	0.0305092270134904	0.0035912426795327	5.27545107745724e-17	1.43250236098941	0.211703144536851
dbp	stroke	1363	0.000236189435897506	0.0531237081890489	-7489.10629501846	0.0320067083268294_0.0531237081890489	0.498956426173537_0.501043573826463	0.0308674153573633	0.00746322142690717	3.75136562164572e-05	0.054329409484132	0.00637189936820251	3.95360471906482e-17	1.8837519353863	0.0512386186564441
smoking	stroke	125	0.594142801460127	0.296361829406086	-732.618790100589	0.296361829406086_0.296392133207971	0.500000000000162_0.499999999999838	0.111341482975973	0.244868781097431	0.650121137014637	0.464020842073872	0.181051907757657	0.0115750214591071	1.27360121106943	0.321811718448791
ldl	cad	188	1.12337798876677e-19	0.367635621904901	-894.632052205774	0.367635621904901_0.438993759166697	0.57385606516344_0.426143934836559	0.337228824831423	0.0558493263481935	8.22442746552872e-09	0.472600227276606	0.0660761291142157	1.870613219793e-11	1.26348484512735	0.160193807764564
smoking	t2d	113	0.92554889542219	-0.0626790886562704	-541.184709056416	-0.0626790886562704_0.545128590402871	0.501113816569136_0.498886183430864	-0.0420083497921917	0.26596202973499	0.874781665798802	0.509172986811005	0.351438071763025	0.150179910267748	1.24833844577149	0.272526537879044
ldl	stroke	184	0.105767805387132	0.0712015559090812	-971.064802838836	0.0712015559090812_0.0712035681960028	0.500000000000056_0.499999999999944	0.0528499301603973	0.0243207234579415	0.031062278515482	0.0847777049955517	0.0307889571555127	0.00649068898500357	1.03817757277418	0.430055108860841
bmi	cad	102	0.00970301121727245	0.35532393295588	-560.396251681881	0.200063191544338_0.35532393295588	0.450148363948996_0.549851636051004	0.178958616716513	0.135914039380913	0.190917653142457	0.365432450558579	0.0534357341782025	6.22628715479601e-10	1.32664073905083	0.280251701265993
