risk	disease	IVs	P_random	eff_random	AIC_random	gamma_random	gSigma2_random	prop_random	b_random	sigma2_random	b_prop_random	P_fixed	eff_fixed	AIC_fixed	gamma_fixed	prop_fixed
bf	asthma	10	0.582155659608155	0.145911671453938	-37.6975893827371	0.14591162560847_0.145911671453938_0.145911934403069	0_0_0	0.333333333333349_0.333333333333381_0.333333333333269	0.00681472175838661	0_0	0.5_0.5	0.582155659608155	0.145911671453938	-43.6975893827371	0.14591162560847_0.145911671453938_0.145911934403069	0.333333333333349_0.333333333333381_0.333333333333269
bf	stroke	10	0.885940971124829	-0.0273019136990575	-44.9684380664348	-0.0273020276568244_-0.0273019136990575_-0.0273018410122021	0_0_0	0.333333333333286_0.333333333333397_0.333333333333316	-0.00115603513480078	0_0	0.5_0.5	0.885940971124829	-0.0273019136990575	-50.9684380664348	-0.0273020276568244_-0.0273019136990575_-0.0273018410122021	0.333333333333286_0.333333333333397_0.333333333333316
tg	stroke	119	0.875414423722418	0.011527156905528	-656.874388494904	0.0115271294937835_0.011527156905528_0.0115275547447496	0_0_0	0.333333333333351_0.333333333333358_0.333333333333291	-0.00110065245432591	0_6.72369797275564e-05	0.496475633512626_0.503524366487374	0.875414421944627	0.0115268815774908	-662.874388496756	0.0115267795239228_0.0115268815774908_0.0115281781335904	0.333333333333489_0.333333333333579_0.333333333332932
bf	t2d	10	0.155013796124821	1.55472051277837	-12.8576887894895	-1.94799231186597_1.55472051277648_1.55472051277837	0.39363893755037_0_0	0.301348052295361_0.349325973852319_0.349325973852319	0.00576715847995345	0_3.59749461262279e-05	0.499740398478548_0.500259601521452	0.0483963088445621	1.51634638995212	-18.3475131167111	-2.03442909245992_1.51634638995212_1.51634782376448	0.299205108555023_0.350397445722489_0.350397445722487
fg	t2d	21	0.415327856801357	0.153794780458598	-29.3078193696379	0.153794780458598_2.04314387104841_4.21055485592133	0.0818091691189288_0.0372625073694204_18.0393981962066	0.429276045016858_0.357856394101978_0.212867560881165	0.0121999108369873	0_0	0.5_0.5	0.642514414595145	-0.144079532136103	-32.7515424112343	-0.144079532136103_1.57252186973128_2.28669186839126	0.371406985681687_0.324067762283867_0.304525252034447
bmi	stroke	102	0.488492566363155	0.10166149847212	-552.199580560722	0.10166145762472_0.10166149847212_0.101664152007201	0_0_0	0.333333333333512_0.333333333333523_0.333333333332965	0.0011235377315891	0_0.000139639759465487	0.495630493692898_0.504369506307102	0.48849256686748	0.101661357247216	-558.199580558726	0.101661321006027_0.101661357247216_0.101664425784692	0.333333333333562_0.333333333333576_0.333333333332862
fg	asthma	17	0.454497461379198	-0.261350923804202	-59.973304568766	-0.261350957128735_-0.261350923804202_0.514506808676731	0_0_0.713619016550814	0.354804394015068_0.354804394015068_0.290391211969864	0.00305304031569668	0_0	0.5_0.5	0.802483287647738	-0.172858595948157	-65.3051687159191	-0.172858653161269_-0.172858595948157_-0.172848808212501	0.33333333333396_0.333333333333984_0.333333333332056
bmi	asthma	101	0.818945919489543	0.132849916641625	-527.979424127694	0.132823510799037_0.132849916641625_0.13285064706178	0_0_0	0.333333333331507_0.333333333334318_0.333333333334175	0.000728849200669859	0_8.95588319609498e-05	0.501054505746847_0.498945494253153	0.818945920197069	0.132849916641625	-533.979424127694	0.132823510799037_0.132849916641625_0.13285064706178	0.333333333331507_0.333333333334318_0.333333333334175
fg	stroke	20	0.360904304312696	0.171604009396011	-88.0539510740786	-0.190434073213322_0.171604009396011_0.171604016024098	0.115793526720994_0_0	0.312760288889075_0.343619855555463_0.343619855555462	0.0117826680652891	0_0	0.5_0.5	0.0651023604912669	0.178122756655709	-93.8600191796536	-0.469471281834986_0.178118269319776_0.178122756655709	0.215250372545345_0.392374813727201_0.392374813727454
hdl	asthma	197	0.879496884483136	-0.0149352998054783	-932.944432318526	-0.0149354364484811_-0.0149352998054783_-0.0149335448447581	0_0_0	0.333333333333417_0.333333333333464_0.333333333333119	-0.000759036474353	0_0.000442059266876961	0.512979402705167_0.487020597294833	0.87949694979775	-0.014934828645627	-938.944432307981	-0.0149348449720621_-0.014934828645627_-0.0149345862959547	0.333333333333335_0.333333333333336_0.33333333333333
tg	asthma	125	0.951357604499133	-0.00607937408466964	-555.557394524638	-0.298417413555682_-0.0060793725898805_-0.00607937408466964	0_0_0	0.329264582039899_0.335367708980051_0.335367708980051	-0.000614570611145371	0_0.000510718804868679	0.503848623184996_0.496151376815004	0.951357700896656	-0.00607937195143756	-561.557394525889	-0.2984174264012_-0.00607937195143756_-0.00607937340239849	0.329264582412588_0.335367708793706_0.335367708793706
bmi	t2d	103	8.61195342302662e-06	0.714357310427755	-447.729071302726	-0.337599773642553_0.714357310427755_1.0282042358422	8.10827998496871_0_0.019780800090142	0.201323783174742_0.400454142526172_0.398222074299086	0.00266704663293253	0_0	0.5_0.5	0.000453609488537345	0.800228186899934	-433.604936958733	0.800228206695895_0.800228186899934_0.800228348095266	0.333333333333334_0.333333333333334_0.333333333333332
ldl	asthma	174	0.987190371022437	-0.00189074475516176	-806.979916445086	-0.00189314355251021_-0.00189074475516176_-0.00188833365657646	0_0_0	0.333333333332961_0.333333333334061_0.333333333332978	0.00258046079768692	0_0.000548250588405026	0.528546126616668_0.471453873383332	0.987190195368709	-0.00189074307734941	-812.979916446311	-0.00189094458613568_-0.00189074307734941_-0.00189054062224214	0.333333333333332_0.333333333333338_0.33333333333333
ldl	t2d	180	0.972672697820821	-0.00453251955028654	-779.325877564832	-0.214064266790295_-0.214054897728867_-0.00453251955028654	0_0_0	0.3333285479311_0.333328547931114_0.333342904137786	0.00176344181514824	0_0.000442610310835811	0.504321020302111_0.495678979697889	0.972672637475341	-0.0045325171839878	-785.325877576091	-0.214061309397592_-0.214057866630159_-0.0045325171839878	0.33332854763828_0.333328547638316_0.333342904723404
alcohol	asthma	41	0.912073173107826	0.234940380093065	-205.17390717675	-0.21740989346079_-0.217381064903034_0.234940380093065	0_0_0	0.33332416381845_0.333324163818368_0.333351672363183	0.0013023000028229	0_0	0.5_0.5	0.879151578235258	0.234940414956977	-211.17390717666	-0.2174125718614_-0.217378405760865_0.234940414956977	0.333324164352659_0.333324164352457_0.333351671294884
hdl	stroke	207	0.507017181990447	-0.0454006290652871	-1147.54082067111	-0.0454015682379178_-0.0454006290652871_-0.0454000056402926	0_0_0	0.33333333333325_0.333333333333448_0.333333333333303	-0.000538875249860346	0_0.000121035159433664	0.511407474490205_0.488592525509795	0.507017184836212	-0.0454003308167581	-1153.5408206606	-0.045403660220491_-0.0454003308167581_-0.0453982171930155	0.333333333332312_0.333333333334726_0.333333333332962
