risk	disease	IVs	gamma_median_causal	q_median_causal	eta_median_causal	q_median_sharing	eta_median_sharing	p_cause	rho
bf	asthma	777	0.108695749340015	0.0402255832594047	0.154128783308879	0.0473653780505023	0.48213854528841	0.480581399628328	0.0186201638638729	
ldl	asthma	1050	-0.0227249316747347	0.0253780957763256	-0.26608779131294	0.027520452085274	-0.373652266056237	0.697407407063865	0.000394314154888588	
smoking	stroke	3792	0.309528992469506	0.030781336000778	-0.122073274768901	0.277243114978613	0.841512577164433	0.0242572887884885	0.044121102720417	
ldl	t2d	1093	-0.109587391982666	0.0162162403971935	1.90402526110445	0.145696634811414	-0.269898341748378	0.130918925264713	0.018165337999256	
tg	cad	1131	0.303320849732482	0.0300735206233388	0.0348178233358065	0.644371800334015	0.40558648638108	6.58144313250773e-05	0.0711946458075595	
sbp	asthma	6489	0.00316050171010669	0.0392523544539251	3.11866267395385e-06	0.0617147189360214	0.0244095999083744	0.385235568262777	-0.00528110309501504	
bw	t2d	1563	-0.168028320409168	0.0153593205625963	-0.276334940639436	0.0407934564751707	-0.71298814060449	0.146796474291074	-0.0234843602846992	
bw	stroke	2861	-0.100400937211841	0.0384307161166535	0.0817939760732526	0.125404489022256	-0.358572761741403	0.122833784499577	-0.0142488377195802	
sbp	t2d	6831	0.00815647370367397	0.137705369771446	-0.000732420890030568	0.208460432459203	0.0280652324601237	0.0552847555110359	0.0637431582577087	
bw	asthma	1435	0.0895272028518374	0.0363417907310676	-0.0434850409658956	0.0478545031737119	0.333080376028216	0.369353030303078	0.00200491986554223	
bmi	t2d	1428	0.567021311731361	0.0164451174182518	-6.03449243162629	0.558119080519536	0.812879129886268	0.00633781235397557	0.127917212004993	
ldl	cad	1125	0.351646145202857	0.0295409419524501	-0.00834271833096668	0.784840490161133	0.394241142761181	8.31663810307215e-10	0.0448977983850109	
alcohol	stroke	2619	0.133220343103573	0.0335959997728828	0.0817806963708069	0.0837420795024376	0.603109588714756	0.153044136240822	0.0045250600078312	
dbp	asthma	6582	0.00207235784976024	0.0350824565922002	0.00176581021867853	0.0274927086084529	0.0130392401351848	0.916817037130429	-0.0102281886921121	
tg	stroke	1105	0.0170504483051098	0.0292445536544096	0.185035528435023	0.0307538755165152	0.280259761869396	0.786724333510673	0.0338673823012208	
sbp	cad	9728	0.0244714590667435	0.0309927108444942	-0.000234678664108111	0.876563627763322	0.0270136584249873	8.35451210067352e-24	0.122534634812989	
hdl	t2d	1173	-0.123429033653448	0.0382958792148992	-1.92586936658216	0.0767615926612526	-1.75138519735531	0.0421381504385858	-0.0816358988698703	
hdl	asthma	1135	-0.0147087188020908	0.0310528742708631	0.206658510478976	0.0255795855928665	0.108582746392056	0.991009196111313	-0.00235959524128475	
