risk	disease	IVs	P_mbe	eff_mbe	se_mbe	P_egger	eff_egger	se_egger	P_ivw	eff_ivw	se_ivw	P_weightedMedian	eff_weightedMedian	se_weightedMedian
fg	asthma	17	0.104751677964133	-0.247125419862018	0.152335789984748	0.294100952450119	-0.38766525965754	0.369497906035037	0.302745516853094	-0.148035631505281	0.143645314739323	0.114404723237654	-0.207882174784456	0.131679281724772	
bmi	asthma	101	0.172831333495197	0.183932889874475	0.134931017398067	0.0931649990105852	0.247270451781099	0.147278285546584	0.0150719304533323	0.135980044666656	0.0559439927275704	0.0538770998224126	0.160380828671134	0.0831926986485875	
fg	t2d	21	0.220211749456948	0.375504439380323	0.306292888080589	0.228588289798251	-1.2623765902657	1.04848263644381	0.0053640874156466	1.29240179239858	0.46417222461897	1.49151613799584e-07	1.18778339528294	0.226089263209428	
bmi	t2d	103	1.64420746256235e-12	1.21779956591342	0.172450154413238	0.000750055219802537	1.12463108512784	0.333659324603149	3.07441788025641e-08	0.719122359392735	0.129872405858326	2.67057318145525e-19	0.854476696173091	0.0951372286556942	
fg	stroke	20	0.204993173124474	-0.126625495812526	0.0999054354137772	0.00326219828751229	-0.526894487546847	0.179100909819188	0.905313642187338	0.0114046820804214	0.0958765998810968	0.194904973768228	-0.125421432116092	0.0967605139592897	
bmi	stroke	102	0.646686084789763	0.0366387355565121	0.0799325297367376	0.604299933228577	-0.0667519117573813	0.128808259946349	0.0212403664639179	0.115528538986815	0.0501494645913125	0.432300667794455	0.0515017819077277	0.0655855751281472	
tg	asthma	125	0.29059258617449	-0.0598154686991217	0.0565993499761481	0.379819123446803	-0.0659329356962907	0.0750748261684554	0.00464900109826235	-0.124286620116555	0.0439113451502236	0.309336938567663	-0.0518683032576211	0.051020630109662	
bf	t2d	10	4.94686072248969e-10	1.46963359982376	0.236245832627171	0.0452721033082426	4.87167752356856	2.43326262980719	0.232885756989697	0.637928988648456	0.534745480983371	9.02732840109039e-08	1.41454246495645	0.264633524482025	
ldl	asthma	174	0.668972046072865	0.0166859659159995	0.0390260911772361	0.783947276244549	0.0143591268430849	0.052371411386922	0.674691523317253	-0.0125610039858191	0.0299272511644754	0.842251572794757	0.00708190964856224	0.0355849318178223	
bf	asthma	10	0.511450111353517	-0.164289312688471	0.250219260700244	0.767581337387938	-0.181816017894371	0.615199184513861	0.635031553759454	0.0578619808511443	0.121902752759751	0.911823148073091	-0.0182300666377845	0.164621598816188	
