simNum	IVsNum	P	eff	Global_Test
30	10	0.614196324242372	0.0578619808511443	0.5992	
14	10	0.263385676807542	0.637928988648456	<1e-04	
18	10	0.834568280743882	-0.0130907625968203	0.9228	
41	17	0.318073248630872	-0.148035631505281	7e-04	
13	10	0.891247925045311	-0.0357541058379594	<1e-04	
15	21	0.0114470031821589	1.29240179239858	<1e-04	
29	20	0.906562312762454	0.0114046820804214	0.0023	
28	21	0.0044652126394698	0.248333173918159	1e-04	
35	43	0.301307232977716	0.15643021077069	0.0068	
37	41	0.502128846957399	-0.0951720638665234	0.3611	
24	58	0.0870062140631032	-0.124846783952333	<1e-04	
31	56	0.204568869797274	-0.0863196919804503	<1e-04	
25	54	0.000547499456775549	-0.600382224726666	<1e-04	
45	51	0.316234791601331	0.0782237576286324	0.0274	
36	54	0.0539609679963236	0.184684444384966	<1e-04	
32	53	0.271645959141982	0.0907329523383229	0.2583	
12	103	2.40209284431339e-07	0.719122359392735	<1e-04	
27	101	0.0168530999832672	0.135980044666656	0.0913	
17	102	0.0232892014884517	0.115528538986815	<1e-04	
10	102	2.74386432470005e-07	0.287572397822529	<1e-04	
8	113	0.129799462968129	0.239489538261798	0.011	
26	119	0.558456665821428	0.0146403550939442	0.0282	
19	110	0.588141914816847	0.0811923615046869	<1e-04	
42	125	0.00542527458872272	-0.124286620116555	<1e-04	
23	132	0.443572009859194	0.0406535262117277	<1e-04	
6	125	0.0022315830211933	0.294718312147759	0.0227	
3	125	2.89087367557421e-08	0.531580181871195	<1e-04	
11	134	8.34837442769644e-13	0.28432494584198	<1e-04	
44	174	0.675212286909296	-0.0125610039858191	<1e-04	
34	180	6.88886537164668e-05	-0.135427007206774	<1e-04	
46	197	0.848137739927813	-0.00611375584704762	<1e-04	
9	184	0.000230614033311292	0.0712198466341157	<1e-04	
21	202	0.000572149770831971	-0.138954961138133	<1e-04	
48	207	0.0276110391767459	-0.0426733278246924	5e-04	
7	188	3.75336873246244e-29	0.378728070236059	<1e-04	
47	209	2.68423209445159e-09	-0.184438417329115	<1e-04	
39	1054	0.0604065067823196	0.00370342742466894	<1e-04	
40	1116	0.479476397701928	-0.00254290263692523	<1e-04	
1	1334	7.93262912220533e-112	0.0360874658614314	<1e-04	
20	1093	2.82443008022893e-08	0.0147992999497112	<1e-04	
5	1363	6.0615302125384e-70	0.0442507906718616	<1e-04	
22	1168	0.0035826849326785	0.0117902577226189	<1e-04	
4	1313	2.27412000991559e-75	0.0280001326101894	<1e-04	
2	1409	3.51702159851542e-93	0.0527727277690212	<1e-04	
38	5244	0.00700881264025165	-0.0404380745177533	<1e-04	
43	5358	0.412182874780647	-0.0130721126507439	<1e-04	
33	5357	1.33764911333965e-05	-0.0469359680660044	<1e-04	
16	5377	1.18824910311705e-29	-0.111007750187608	<1e-04	
