simNum	IVsNum	P_random	eff_random	AIC_random	gamma_random	prop_random	eff_mean_minClass	sd_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass_mean	correct_factor	CHVP_test_correct
8	109	0.743054770575053	0.0100165146140203	-664.824806209663	0.0100165146140203_0.0100187181329631	0.5_0.5	0.00202161378552375	0.0304775255887874	0.947236702487267	0.0156793446126976	0.0183067610681238	0.393629611353453	1.22712812804903	0.780481067289798
2	94	0.318650239895346	0.0271689081664329	-595.318421870995	0.0271537887373887_0.0271689081664329	0.499999999999997_0.500000000000003	0.0117332547629859	0.0260103391770854	0.652967821115298	0.0401654575817478	0.0270981588419169	0.141662185841015	1.10904799563203	0.490499928028159
9	96	0.54619506515669	-0.0202708197093952	-601.020134041975	-0.0202708197093952_0.0557323201802309	0.500206614934017_0.499793385065983	-0.0167844134155621	0.0334698302592657	0.617194268622508	0.0511130200057875	0.0366949092270662	0.166895536263523	1.20827693765963	0.216023496811172
4	98	0.000631832711260363	0.0930236230028725	-597.672556153276	-0.0682287874216694_0.0930236230028725	0.495978501242544_0.504021498757456	-0.0507487044567908	0.0452115579470244	0.264432577506103	0.0739720581704773	0.0263326991398917	0.00600799495349893	1.01870634828262	0.0176633986912709
1	103	0.462130393439231	-0.0160880763290808	-642.180456988185	-0.0160880763290808_0.106553001301245	0.512804358315322_0.487195641684678	-0.00985269872533529	0.0217957246008633	0.652194750970573	0.0983107273888804	0.0409850348852874	0.0182699149891416	1.64239397763667	0.0461746727894616
3	91	4.53476387217676e-06	0.130701264683652	-547.242712780644	-0.0180083215654571_0.130701264683652	0.496194112407363_0.503805887592637	-0.0153294882976073	0.0371847839182602	0.681135293730216	0.129418774129177	0.0267753337349142	5.49167595897443e-06	1.41414085411356	0.00314577399467363
5	98	0.718719123210805	0.00796166976239433	-599.746144948239	0.00796166976239433_0.139216595748811	0.516384826723973_0.483615173276027	0.0114734667121182	0.0220409373259927	0.603864688477548	0.134035242993437	0.0371738658420212	0.000494028204119349	1.47189951565524	0.00945892216046202
6	111	0.0915024676570861	0.0647866824129138	-697.159720488297	0.000164704572095628_0.0647866824129138	0.49983403500726_0.50016596499274	-0.00480445538197178	0.0385608393414679	0.901072256880996	0.0719625141591179	0.0380558102452194	0.0612587277281091	1.23201574381593	0.20283777548013
10	107	0.304789924145979	0.0416929939669188	-628.992789179093	-0.0225755678981952_0.0416929939669188	0.499903324997996_0.500096675002004	-0.0335739519825228	0.0474604358287971	0.480864591462349	0.0499728982714146	0.0404311725262462	0.219190846326211	0.908199329127056	0.160537456364437
7	125	0.000919517587063948	0.103450051201553	-771.484058180536	-0.0231957913836128_0.103450051201553	0.498772654089091_0.501227345910909	-0.0160323895710956	0.0358300160032027	0.655325843281484	0.0953456616606459	0.030463129365323	0.0021809055158461	1.04589198258025	0.0192309581168411
12	104	0.364421426874199	-0.0185013850113051	-657.225196376923	-0.0185013850113051_0.0599705822101913	0.510674556597933_0.489325443402067	-0.0107300888458522	0.0203088298625796	0.598395771759019	0.0535696121463919	0.0328697936279055	0.106208481858999	1.37506942647865	0.148779816353922
11	107	0.227897202388806	0.0413887782851704	-653.979978223034	0.041341797436466_0.0413887782851704	0.49999999999998_0.50000000000002	0.0160745241319311	0.03518241410492	0.648684406789172	0.0674459740207984	0.034126258116708	0.0507113886501857	1.22172623446273	0.36231270912427
18	90	0.609830482147556	0.0147273697275448	-565.65612793942	0.0147273697275448_0.0889129707105741	0.50302778282751_0.49697221717249	0.0221205831793254	0.0287572471167714	0.443800728129198	0.0794214038894182	0.0337238543496967	0.0207184404059328	1.2717201474572	0.26004292321354
17	104	0.107391392276597	0.0384998713992107	-653.23337852693	0.0384998713992107_0.0385076849455484	0.500000000000001_0.499999999999999	0.031700804569037	0.0237040213972662	0.184051052109656	0.0462348172092306	0.0212378704915392	0.0317643857571668	1.19124674661956	0.719691376053598
14	106	0.308766142384197	0.0306213320081691	-669.623826093474	0.0306213320081691_0.0341929968987807	0.500000021194979_0.499999978805021	0.0119730668998055	0.0299395385376785	0.690036513330372	0.0530201350145791	0.030180737929153	0.0818749174127844	1.37168033365279	0.453842127866815
13	102	0.898034116216963	-0.00478462831299665	-614.400558815284	-0.00478462831299665_0.0152196570733299	0.500530943236549_0.499469056763451	-0.0336969043311659	0.0372437481564982	0.367742124870602	0.0438433767647662	0.0368530658680844	0.23696110457891	0.860174332000863	0.114813695511624
15	115	0.41588871415552	0.0303010791195557	-703.518570048921	0.0303010791195557_0.0306406763125129	0.500000000000782_0.499999999999218	-0.00460535683976855	0.0371086654156548	0.90145099943952	0.0669848069357117	0.0318009453661924	0.0373654455129631	1.07714770422894	0.157047574850422
19	118	0.107363389112402	0.0388565327212993	-691.894173291332	0.0388565327212993_0.0388610461988341	0.500000000000001_0.499999999999999	0.0218548931067736	0.0239468659906801	0.363308077812468	0.0652830607639773	0.0411304757135531	0.115162050313567	1.25369919962077	0.447428980486781
16	101	0.917771159542107	0.00465814157060412	-609.883403877224	0.00465814157060412_0.0776708550852361	0.50051800795813_0.49948199204187	-0.0188904573326449	0.0450049490952022	0.675574522160584	0.100099835871973	0.037889125325816	0.00956887869502113	1.53403580480001	0.0839104587904735
20	122	0.234788672587577	0.0310467170339075	-750.189730836582	0.0310291310770011_0.0310467170339075	0.491205930134899_0.508794069865101	0.00702946157913309	0.0237196933208117	0.767466661301392	0.053531324720603	0.0260008886712609	0.0416571008946746	1.22565031454668	0.237568219690001
21	84	0.355656978647248	-0.0190023961875173	-529.89102036374	-0.0190023961875173_0.0460675789731747	0.512828990296234_0.487171009703766	-0.0131318695538328	0.0204578394562256	0.522707566574121	0.0407519820464266	0.0316310027845013	0.201202116194575	1.28610616499613	0.209017423893112
23	101	0.345788391790569	0.0312090474003917	-615.333259073279	0.0312051552178461_0.0312090474003917	0.499999999999994_0.500000000000006	0.0213274158498389	0.0218820633696758	0.332084300882764	0.0458863275909675	0.0329465604583169	0.16678416801958	1.55071825196886	0.722258291814606
22	95	0.25853217402495	-0.0383951201700167	-591.963881432802	-0.0383951201700167_0.0468985612269281	0.500297003635446_0.499702996364554	-0.0352389898752225	0.0337762055559978	0.299481354734416	0.0398464456875366	0.0373535545174946	0.288822416592091	1.10515216982411	0.154512899280992
27	100	0.519606800311416	0.0189822331528715	-607.191784838696	-0.00507455917655781_0.0189822331528715	0.494852997660432_0.505147002339568	-0.0196953209149809	0.0336926234554376	0.560174195033229	0.0342933086671476	0.0293724736220887	0.245799791962148	1.68191117258174	0.403593126299529
28	106	0.510437148630081	0.0206265939796063	-661.326897020876	0.0163453407368391_0.0206265939796063	0.499999961279239_0.50000003872076	-0.00342761461015457	0.0325178836391952	0.916253915090975	0.042259540953406	0.0312330245441679	0.178948860994909	1.27359356133159	0.396689164027191
26	115	0.36180395941568	0.0370734197690641	-693.726518075726	0.0370734197690641_0.111601515599866	0.500086233827482_0.499913766172518	0.0252438967632479	0.0404903829927139	0.534231542766832	0.125971740083495	0.0437595276769936	0.00476930578164577	1.28033038749539	0.128194069189805
25	112	0.0621051280532327	0.0397872132051191	-678.835397286364	0.0397872132051191_0.0972846882855228	0.514472041221078_0.485527958778922	0.0398631136655759	0.0211122193120101	0.0616161784102937	0.0975366097542736	0.0314161471687986	0.00241759610915467	1.8391487758845	0.281508878170338
24	118	0.678340247855666	-0.0150525331835409	-702.8654728739	-0.0150525331835409_0.120041511789093	0.500136621541166_0.499863378458834	-0.00049669900434598	0.036204032332493	0.989077181978868	0.113234971348595	0.0408315369818199	0.00646117981340475	1.16601955842548	0.0471015055685939
30	117	0.993493551377482	0.000223841850616299	-723.434883490669	0.000223841850616299_0.0483812281220099	0.50145787932965_0.49854212067035	-0.000905520961654183	0.0273902818155999	0.973683609986363	0.0475528021288408	0.0302501015521635	0.118676970059259	1.23423788929078	0.297273634090451
29	118	0.654901301669891	0.0171357861298073	-710.25970955782	0.0171357861298073_0.0562859314588693	0.502453986423888_0.497546013576112	-0.00013118071094872	0.0382399907564956	0.997268737539188	0.0732302953605676	0.0333324893283633	0.0299937602234367	1.26888456453577	0.199900649337852
