simNum	IVsNum	plei_test	P	eff
21	93	0.232	0.0159146571167384	0.0379402178977122	
57	92	0.023	0.186840227262487	0.023521081627751	
71	92	0.286	0.00883464037351062	0.0417589585487774	
97	86	0.021	0.0250565839101783	0.0383287010953196	
15	99	0.002	0.00187775077292474	0.0564259740957064	
61	97	0	0.187537963731606	0.0211410574624951	
13	99	0.056	0.016497559940825	0.0401193132690657	
31	99	0.016	0.000485537959855652	0.061642427016502	
49	97	0.001	0.0132566701037778	0.0410255441195987	
91	96	0	0.883565059682201	-0.00214633872109417	
93	100	0.007	0.742846245887815	0.00538437469734296	
81	97	0	0.935182923712056	-0.00115789063032975	
67	104	0.087	0.0655753536215458	0.0291888345864013	
73	93	0	0.00371657537724292	0.0505472406099402	
69	104	0.928	0.736664783905813	0.00428426282670434	
89	100	0.367	0.00583001740980287	0.0414196846313653	
47	101	0.019	0.188287106243612	0.0200981927002337	
35	101	0.04	0.00170551355395888	0.0468838595078733	
95	101	0	0.176217606234296	0.0250938975166052	
7	101	0.13	0.0076619760034887	0.0428965309762183	
9	101	0.002	0.0632917793171961	0.0304745037751046	
87	102	0	0.0065797236849572	0.044189226429279	
23	110	0	0.0122395900275694	0.0408019164992447	
5	106	0	0.583658115709539	0.00955460407021984	
3	104	0.007	0.0748576544348067	0.0292139361137715	
65	107	0.05	0.0035201136632772	0.0455603362710383	
79	110	0.066	0.0278393402575289	0.0332172551854884	
29	107	0.552	0.229713466519615	0.0165084533026256	
99	105	0.001	0.00715544677345307	0.0429064132242207	
55	109	0.004	0.155183453500232	0.022098667122276	
85	110	0.162	0.000488447065631035	0.0518911473319977	
17	106	0	0.406628259389864	0.0124775829983763	
11	104	0	0.0977862852903382	0.0277797474446707	
51	108	0.001	0.00314132020638932	0.0454683160841679	
25	114	0	0.00668806190678248	0.0462540275511344	
45	110	0	0.558156439694502	0.00906248116326557	
75	111	0.086	0.00109561302396939	0.0489232488215084	
63	109	0.025	0.0928017541949569	0.0255078001164054	
77	114	0.026	0.10476422104557	0.0251944371677135	
37	113	0.254	0.0261850894992511	0.0318906655855033	
43	118	0.107	0.00645074230546202	0.0401752114027172	
41	111	0.016	0.0012347009312369	0.0507812820017738	
39	114	0	0.512640250630848	0.00948838311963348	
59	119	0.001	0.0354960502657376	0.0287669709005378	
27	117	0.023	0.0222332658883783	0.0326428914465057	
33	118	0.015	0.398910344654111	0.0115986825243958	
1	117	0.003	0.000270877790371781	0.0567387197611638	
19	121	0.001	0.0206699298987387	0.0339397655639307	
53	130	0.028	0.145020325427919	0.0199332564462417	
83	133	0.211	0.00194556507386157	0.0416216380984114	
4	82	0.14	0.00255274059948583	0.0513322963881566	
88	85	0.146	0.093453560221955	0.0288832524306054	
48	91	0	0.0635677181353495	0.0336576164060531	
24	93	0.387	0.0588161622582504	0.028537617175626	
10	99	0	0.138238518285877	0.0261191611621925	
96	101	0.001	0.0305502083813577	0.0381534356010038	
92	99	0.002	0.0326380705490273	0.0353632026400078	
74	101	0.339	0.190827920688004	0.0192163492779238	
94	100	0	0.000997121095982412	0.0627515800396978	
72	107	0	1.76430371635238e-06	0.0724260070045021	
22	109	0	0.171113481231393	0.0211336234553311	
52	100	0	0.00727346503416659	0.0449909538667462	
90	106	0.067	0.0730102880406381	0.0287709936853368	
80	100	0.224	0.000624476214804256	0.0550332067306835	
70	106	0.028	0.000330322718478094	0.0534751830021421	
58	109	0.003	0.230506117149451	0.0196556826077267	
62	110	0.569	0.311896275327532	0.013477318315387	
36	106	0.059	0.0702770021733694	0.0276449879268154	
32	107	0.01	0.133422575110989	0.0234626085155986	
30	104	0.051	0.00236719706008308	0.0467002885644085	
26	102	0.101	0.0213712763616124	0.0346345775209784	
16	109	0.004	0.00888694526919261	0.0407536496355694	
68	110	0.047	0.0539719673573983	0.0251349766620246	
38	96	0.157	0.10526076231688	0.0258937292226822	
28	95	0.001	0.191294386947227	0.0223266441034574	
98	116	0.001	0.000277862300745898	0.0589991412055105	
46	101	0.001	0.179825026738535	0.0209428537868708	
50	115	0.01	0.0085562055604083	0.0386696419802602	
44	104	0	0.631872276891431	0.00720946079984547	
82	116	0.001	0.00379780524729751	0.0449171834945057	
14	121	0.546	0.000371457544007294	0.0469462791960358	
64	109	0.477	0.000492209846516631	0.0490950378218925	
18	114	0.008	0.200275267187333	0.0190272616101304	
86	112	0.013	0.00108995192926524	0.0513605214454155	
100	117	0.031	0.0161229894945688	0.0355783740826123	
78	114	0.84	0.0119220396494499	0.0312873850203631	
66	120	0	0.00558702428972948	0.0415317970547501	
2	97	0.033	0.139305829161137	0.022997591475934	
40	111	0.016	0.0635352789340824	0.0291414605780522	
56	116	0.004	0.000549650212176098	0.0500506712332597	
8	124	0.018	0.0452175483606438	0.0277877585760637	
54	98	0	0.0563395802323411	0.030119078118294	
12	113	0.026	0.0638937637797262	0.0275179557639947	
60	113	0	0.139327206131002	0.0232981043763848	
42	116	0.051	0.0355623739184447	0.030887161238609	
20	111	0.254	0.0483928446047512	0.0275414380279072	
6	123	0	0.0624794976398917	0.0298235986987249	
76	124	0	0.00866539471713159	0.0405177918532441	
34	117	0.186	9.94009492602314e-07	0.0729525079331572	
84	109	0.018	0.214011696796493	0.0198448077903824	
