simNum	IVsNum	P	eff
84	700	0.0733433120753127	0.0479507290512257	
87	687	0.166617012126414	0.0360393156462804	
5	736	0.0318957183172322	0.0518377566296996	
94	719	0.136701985201803	0.0488958689405621	
81	737	0.436600404005624	0.0235004519238392	
77	727	0.0682390311321694	0.0527446108042093	
15	655	0.19725005130909	0.0380344144186146	
51	681	0.20373328792323	0.0398045034981311	
58	682	0.132379445807476	0.0507368298569419	
31	733	0.219296137315654	0.0382713666571946	
74	732	0.138676187875326	0.0376867415017335	
54	757	0.0306992128172656	0.0471938225471445	
68	699	0.578549696858013	0.0182394693601599	
61	699	0.064241701170978	0.0480615856302432	
1	697	0.10122413711933	0.0426810777923608	
8	724	0.358145772060422	0.0252008071929126	
48	771	0.411515746515802	0.0295740709671015	
25	736	0.578718793007331	0.0185345781304516	
71	717	0.235414552055139	0.0291786585124294	
28	739	0.136974292806436	0.0383647524560228	
41	773	0.304714996975021	0.0250085769892481	
34	644	0.0477877540819851	0.059518719903931	
21	760	0.169354750650116	0.0372645672002294	
44	693	0.0377407888080494	0.0547108680667941	
97	753	0.0475814125970032	0.0544171839008891	
18	708	0.891145991151474	0.00800435040529251	
11	662	0.830865771152689	0.0317887153125641	
91	746	0.126995910338517	0.0392021706683693	
64	734	0.161467232966171	0.0340409293404646	
38	759	0.161274386911551	0.0342020440883971	
6	724	0.164189303802503	0.0399312505535253	
95	715	0.602206319959212	0.0190711398201044	
85	764	0.154218225621093	0.0372973942920622	
69	664	0.328128312707216	0.0268401799636421	
2	691	0.0435493090008678	0.0521189403739593	
16	746	0.380528209402269	0.0270899569083682	
59	717	0.41682561073193	0.0244370185648657	
42	688	0.271781392637839	0.0336820697428007	
82	664	0.236601450990764	0.0354321889807445	
88	736	0.566753576868478	0.0330249415747334	
9	710	0.235378516577777	0.0358383183158549	
26	732	0.0991480335355541	0.057451227568502	
29	773	0.0709628961503546	0.0456706202504104	
49	739	0.120080620639758	0.0545884959796883	
62	680	0.530246264950008	0.0393016551792793	
55	750	0.565385294953806	0.0176011735665548	
32	752	0.012061454473049	0.0626135470013486	
35	681	0.0520554673366469	0.0600278239802022	
75	672	0.0986977350504691	0.0444149602913005	
52	675	0.0272611777747981	0.0494257881583213	
98	717	0.272369572260823	0.0351550800243816	
22	733	0.51210144388996	0.0182006284252655	
12	685	0.142346150524646	0.0369456929183804	
45	727	0.0474122181999387	0.048206976501444	
92	674	0.0639313967074417	0.0549430282629044	
19	711	0.180739730318472	0.0493227474226392	
78	672	0.108807601521225	0.0375241903648075	
72	715	0.0465602404996958	0.0502192029856045	
39	695	0.184152432604783	0.0383738359205923	
7	702	0.00513555887419252	0.0761354115001205	
3	673	0.0841998627591728	0.0452275726009538	
96	714	0.349373421278307	0.0252549143623658	
86	659	0.241566519154644	0.0340684641911358	
89	727	0.0764716944484792	0.0593181336232953	
10	700	0.171868785574415	0.0425091796000613	
50	755	0.0640501339904428	0.0486491704035107	
60	704	0.020535902944891	0.0596532797855089	
63	713	0.135769011758671	0.0442765881015162	
70	768	0.0521971822785018	0.0446203122662168	
36	728	0.370087598175537	0.0250076953495442	
65	713	0.189859792446911	0.0324442998841738	
27	758	0.117531454631667	0.0359755072678518	
56	700	0.170386772409748	0.051869406404954	
30	660	0.42944049822972	0.0340922521637201	
83	754	0.183082708450579	0.0292018120842872	
43	686	0.0481033311173728	0.0520512802585493	
13	682	0.172121611834742	0.0500845945861932	
33	695	0.0837658238566819	0.0433953007903024	
53	707	0.196745843242588	0.0301943306913805	
76	729	0.0168628042423216	0.0636919027652916	
46	697	0.132468385904476	0.0451616112454734	
93	719	0.351569471655755	0.0301457897011492	
23	667	0.0523120656031092	0.0537199397316602	
73	688	0.177641060616218	0.0365416800743449	
17	666	0.230783610223381	0.0270046769663665	
4	688	0.0675090659140189	0.0519287106597639	
79	785	0.225964575048986	0.0386871188261369	
99	677	0.232215620781877	0.0520501857039092	
40	746	0.117235457408889	0.0463966273577554	
90	699	0.226841929345367	0.0411904124878118	
66	726	0.0880579949887909	0.0513882601354553	
57	726	0.0559221424382238	0.0501734993147505	
14	692	0.182836910301724	0.035170211322464	
37	749	0.23453110653771	0.0302734031586804	
47	739	0.427593160837666	0.0221442087232156	
20	773	0.0558068773255055	0.046601798452843	
24	709	0.0459825110046299	0.0513280122598335	
80	708	0.069593958103059	0.0463428565692859	
100	714	0.0586310660863765	0.0485700794920418	
67	709	0.195373667445657	0.0377000721409542	
