simNum	IVsNum	P	eff
51	117	1.0893508317622e-12	-0.097604390217212	
81	100	2.52862175642576e-11	-0.100205735765774	
91	106	2.17800659729761e-08	-0.0894190940098596	
61	112	5.3064219684984e-12	-0.0958140264426513	
31	101	4.20990717531211e-06	-0.0932472123850957	
71	108	3.78126908828769e-06	-0.064583350534987	
1	106	2.77777800761214e-13	-0.105943574961909	
21	120	1.92143933608335e-06	-0.0652425376512272	
11	108	1.57936566047567e-08	-0.0835242141011074	
41	107	1.77480252716578e-12	-0.101783582395875	
52	111	3.21756943311158e-08	-0.0899999522137858	
82	106	1.57176949233673e-07	-0.0758757953656266	
92	105	7.42211847537533e-10	-0.10025146804087	
62	118	4.70580907574458e-10	-0.0890744694578849	
22	84	1.42666219282717e-07	-0.0806397878541349	
32	107	0.000416225159801886	-0.0617376800289148	
72	106	1.0413792495001e-08	-0.0773470377465522	
2	110	7.45828114823155e-08	-0.0882921903702399	
12	103	0	-0.137855401927744	
42	105	4.81192863333035e-11	-0.10174384221944	
53	118	5.74829073229921e-12	-0.106002482213909	
83	92	3.97237576166276e-10	-0.1028604653881	
93	99	0.000391098822430269	-0.0644191946645371	
63	104	3.46293704822642e-08	-0.101624402092995	
73	83	3.46872086609551e-10	-0.10795750007529	
23	97	3.40044858937461e-08	-0.0978739543144669	
33	105	7.07500724672627e-12	-0.0980876266927904	
3	120	2.86815016181663e-12	-0.10068608892124	
13	107	1.85917527484314e-06	-0.069374819153931	
43	101	2.3585133845927e-11	-0.0991483022958293	
54	132	0.000473036023868945	-0.0500189683314048	
84	107	4.24745012717054e-07	-0.0762322155771106	
94	108	2.71954236907845e-10	-0.0880833638636133	
24	97	9.76996261670138e-15	-0.119244632464738	
64	101	2.72380339905176e-06	-0.0935051956516978	
74	98	5.91814310890726e-08	-0.0831568825288006	
34	117	1.65956822062441e-07	-0.0852741779594198	
4	109	3.43671245075505e-05	-0.0643407894067692	
14	104	5.33766364441135e-10	-0.0942872890595928	
44	125	2.22044604925031e-16	-0.108724410020084	
55	100	2.08562056513983e-11	-0.099979820682865	
95	110	8.81348949377525e-09	-0.0851427132754929	
25	112	2.86162760154696e-09	-0.0841134352323792	
85	105	6.40454000944146e-09	-0.0937618693626993	
65	89	2.90945045833269e-12	-0.110876083512951	
35	102	1.32076425929384e-06	-0.0716955150925212	
75	96	2.05959693744262e-11	-0.108140568465228	
45	102	0	-0.139285816154699	
5	122	9.72555369571637e-14	-0.102327073639599	
15	112	2.51653831107035e-09	-0.0860991602556922	
96	117	5.6351945332267e-10	-0.0852164333107011	
26	117	3.71323065628815e-08	-0.0797105204451041	
56	100	1.4210854715202e-14	-0.117936608666688	
86	92	1.01102615168713e-09	-0.0989851919146604	
36	116	1.60337426224899e-07	-0.0763935806849234	
66	130	3.87771814658322e-10	-0.0808325661612597	
76	97	0.000462081280625082	-0.0525564146701676	
16	122	4.82532551915327e-07	-0.0730295782790003	
46	96	5.9161349752479e-07	-0.0757448547459696	
97	101	0	-0.125069194915114	
6	123	2.3018055239632e-08	-0.0781296991584748	
27	112	7.8971273964612e-11	-0.0973155126284045	
57	87	3.64319574508443e-09	-0.093791766562514	
87	84	2.47842524281339e-09	-0.103550694760216	
37	110	3.85397980195989e-09	-0.106263284476749	
67	99	1.07582404762496e-07	-0.0868509801031788	
77	108	7.25500284728398e-05	-0.0766395238293149	
98	107	5.22478605269328e-07	-0.0726639112425982	
17	124	3.05849123805046e-10	-0.0851332236759455	
28	85	1.0857981180834e-13	-0.127787640510991	
47	111	1.92766659030674e-05	-0.0658998804393312	
7	111	2.42463781696678e-06	-0.0764231383854457	
58	109	2.26430520999799e-08	-0.083471718567474	
88	105	2.5185925611737e-07	-0.079414902314159	
38	114	4.78284079008517e-13	-0.102849039316715	
68	100	1.47672154948708e-06	-0.0710031908180461	
99	98	6.64715549270056e-09	-0.0848504593509104	
18	103	6.94269518097812e-07	-0.0738750044083026	
29	105	3.10252645796538e-09	-0.0866681464437844	
78	99	7.72715225139109e-14	-0.111465477394588	
48	87	2.27232115002085e-05	-0.0685738138704768	
59	116	9.18473963551492e-10	-0.0877714813535939	
39	98	8.53134940470568e-09	-0.0879957802030541	
8	110	1.70700865398388e-06	-0.0746119002244456	
89	108	1.28973046908953e-07	-0.082887017790429	
19	93	2.29130048268189e-11	-0.102942641920376	
100	110	9.92347945993899e-06	-0.0776065157621589	
49	101	1.9551027463649e-12	-0.101859476531374	
69	116	1.60000535931459e-07	-0.0731067561489961	
30	103	2.47323939106536e-10	-0.0911755507653174	
79	106	1.81202541047476e-05	-0.0719390567411922	
60	104	6.89314672008834e-09	-0.0894048626771695	
40	101	6.08963990345046e-11	-0.100845570569974	
90	114	1.73714144002801e-06	-0.076885477222352	
9	121	4.28347508130145e-07	-0.0765434444253476	
20	108	4.63265359407217e-09	-0.0965148740947962	
50	92	9.0688390130822e-10	-0.10161329598004	
70	110	8.05572851536596e-07	-0.0752440689586502	
80	113	1.3935724982872e-06	-0.0680186792623089	
10	120	4.44089209850063e-16	-0.111038389290176	
