"simNum"	"IVsNum"	"P_largestGroup"	"eff_largestGroup"	"eff_mean_minClass"	"sd_minClass"	"P_minClass"	"P_minClass_mean"	"eff_mean_maxClass"	"sd_maxClass"	"P_maxClass"	"P_maxClass_mean"	"corTest_1"	"result_1.chi2"	"CHVP_test"	"correct_factor"	"AIC_1"	"gamma_1"	"prop_1"
"5"	105	1.23372896857832e-05	-0.0869357310678926	-0.109079338132637	0.0245824641066153	7.21934212863776e-06	2.27185933363618e-05	-0.0903394828067259	0.0189313768238314	1.23372896857832e-05	5.98073778431018e-06	0.159488661595813	NA	0.545857480198349	1.34717338393976	-675.67848147508	"-0.116166609664227_-0.0869357310678926"	"0.499658683362006_0.500341316637994"	NA
"2"	115	5.73495621073936e-05	-0.09189759831172	-0.1083355156325	0.0292800970203701	0.00216144942598998	0.000333505376563407	-0.0829858214651993	0.0219834033374037	5.73495621073936e-05	0.000255794334916405	0.999980778548679	NA	0.48871918377227	1.31541815609204	-709.158752010189	"-0.0918982269246925_-0.09189759831172"	"0.499999999999964_0.500000000000036"	NA
"4"	111	0.000250714387005251	-0.0795622550492884	-0.0900500515151561	0.0239680821180078	0.00122188822381921	0.000276819681665523	-0.0728738520984456	0.0210203272984294	0.000250714387005251	0.000752359044180257	0.999616555464864	NA	0.59003891789768	1.40438267728982	-715.250796160158	"-0.0795729465040095_-0.0795622550492884"	"0.499999999999909_0.500000000000091"	NA
"3"	100	3.30615765074504e-05	-0.0961167808889008	-0.106828255278927	0.0207253212151093	1.077931413781e-05	1.30262016175069e-06	-0.0845455775372129	0.0220935454196313	3.30615765074504e-05	0.000227529835001262	0.999870797024929	NA	0.461990778276406	1.37448450815173	-615.229570676285	"-0.0961213331901937_-0.0961167808889008"	"0.49999999999974_0.500000000000259"	NA
"1"	111	4.34227543200946e-05	-0.133954012221775	-0.134179084469161	0.0314511609872518	4.34227543200946e-05	4.22459583043289e-05	-0.041405981495378	0.0376911867987214	0.370196803132946	0.274359303020512	7.50094011148228e-06	NA	0.0587756086860436	1.38745354788109	-688.306133814257	"-0.133954012221775_-0.0339142101779978"	"0.503124654673923_0.496875345326077"	NA
"6"	112	1.98726448695888e-09	-0.175506415980676	-0.165046184685824	0.0268510525301386	1.98726448695888e-09	1.27090754068736e-08	-0.0350842528445377	0.0272929001483159	0.265520088055146	0.201302972849943	1.33604238783391e-11	NA	0.000687718519219023	1.99520577862772	-716.796318678988	"-0.175506415980676_-0.03054305241514"	"0.500250052642477_0.499749947357523"	NA
"8"	98	0.0672706779437976	-0.0625696943922195	-0.13393135016096	0.0395602761978962	0.00272328686279074	0.00102696848747935	-0.0526218032591431	0.033810508281473	0.0672706779437976	0.122875955494185	0.0232426338830853	NA	0.118183897873079	1.27295321608533	-605.220135439032	"-0.121701216640049_-0.0625696943922195"	"0.498279937025871_0.501720062974129"	NA
"7"	117	0.00434855243954628	-0.0816112506999145	-0.104701228666386	0.0361996693824203	0.0260242634203279	0.0045676805848243	-0.0654221062948114	0.0280560132987204	0.00434855243954628	0.0214345179720576	0.999672071446811	NA	0.391091312195718	1.57785980190577	-702.585763306063	"-0.0816219259321448_-0.0816112506999145"	"0.49999999999963_0.50000000000037"	NA
"11"	101	5.83210159178272e-05	-0.103932023564483	-0.105554075021991	0.0247536514128025	5.83210159178272e-05	4.55597094265884e-05	-0.093416940305991	0.0286165870468585	0.000446137036301181	0.00150212365167124	0.999910930291612	NA	0.748382653067253	1.57947118441376	-604.349419833539	"-0.103932023564483_-0.103928548118918"	"0.500000000000029_0.499999999999972"	NA
"12"	119	3.04285042641085e-09	-0.092165103153522	-0.0855999030096955	0.0143673715800847	3.04285042641085e-09	2.7093759268767e-08	-0.0454338285732621	0.0367583407434892	0.316906186037715	0.218908133718191	0.0194181666007855	NA	0.308807106165497	1.81911211968681	-734.001727344768	"-0.092165103153522_-0.0369457436708202"	"0.54388120878396_0.45611879121604"	NA
"9"	115	0.000700409999817371	-0.0969794692437155	-0.0867764339194435	0.0278309856020239	0.000700409999817371	0.00230550482069783	-0.0343066491802726	0.0357156523064197	0.469476264245352	0.338811668555221	0.00124765152513229	NA	0.246531525878149	1.47969688764606	-723.780189530781	"-0.0969794692437155_-0.0259208149471837"	"0.502226577236072_0.497773422763927"	NA
"10"	109	0.501239543563693	-0.0206386586398607	-0.126638680207849	0.0326635235848867	2.96935334509224e-05	0.000181915530637787	-0.0410772894887268	0.0305844711714851	0.501239543563693	0.182062809894117	1.7799214990788e-08	NA	0.05586282535446	1.60666740050758	-682.841838014629	"-0.142443606290354_-0.0206386586398607"	"0.499561251825933_0.500438748174067"	NA
"13"	92	2.2838751353346e-07	-0.0873360559265113	-0.0883232737187049	0.015604214851007	2.2838751353346e-07	1.74020871322022e-07	-0.0866592281952076	0.0161911828945921	5.41727256141016e-07	6.45358377411432e-07	0.999886464619741	NA	0.941008998554633	2.01435279429381	-590.052352354081	"-0.0873360559265113_-0.0873325279415236"	"0.500000000000092_0.499999999999908"	NA
"14"	100	8.33422690195023e-07	-0.101358288222883	-0.105616164394159	0.0192691032106958	8.33422690195023e-07	3.22841359283659e-07	-0.0913996323813332	0.02997323706774	0.00103306365619906	0.00294197824578502	0.99994927536503	NA	0.68991259077745	1.38617664775931	-599.478057312756	"-0.101358288222883_-0.101356267919879"	"0.500000000000055_0.499999999999945"	NA
"16"	116	1.30163378534617e-07	-0.104266034181294	-0.11073508750604	0.0198586892587732	7.0100995371994e-07	1.65075383924707e-07	-0.101503820108037	0.0185243707585271	1.30163378534617e-07	2.55051268893906e-07	0.999378248860388	NA	0.733918097432815	1.46858422257119	-750.180576151357	"-0.104281792125745_-0.104266034181294"	"0.499999999999848_0.500000000000152"	NA
"15"	117	6.66566847176906e-07	-0.135184316995563	-0.120376929869569	0.025700174573185	6.66566847176906e-07	7.71026548941385e-06	-0.0455346794935743	0.0387610226204827	0.508110550256057	0.242498889606791	3.25493356934103e-07	NA	0.107558845904718	1.65753691869821	-741.081248510981	"-0.135184316995563_-0.0257310831773715"	"0.509329539943667_0.490670460056333"	NA
"17"	102	0.0574874098710879	-0.0798570677308584	-0.110961842322975	0.0415597272825013	0.0574874098710879	0.00884223518544924	-0.0504149695962209	0.0362658811250369	0.0300100138003041	0.167539807365009	0.999035786281796	NA	0.272337599597713	1.29951682027345	-611.525537457081	"-0.0798570677308584_-0.0798228150506448"	"0.500000000000001_0.499999999999999"	NA
"18"	101	0.697633312760958	0.0130994734895182	-0.117174921295839	0.0334245210909219	0.000100062623919805	0.000683390060852132	-0.0127844749997182	0.0336196553934291	0.697633312760958	0.704553084078889	2.43558062607008e-10	NA	0.0276669067987425	0.966870165999673	-627.359895275178	"-0.135475136267928_0.0130994734895182"	"0.499674194360343_0.500325805639657"	NA
"19"	106	0.0200543504787486	-0.0866222823486634	-0.106198353378451	0.0366837402315558	0.0200543504787486	0.00461328988593426	-0.0740938186194669	0.0171209604543796	1.7996765998489e-06	3.44863995692931e-05	0.999854579366879	NA	0.427749072660899	1.38524995073079	-662.127186078579	"-0.0866222823486634_-0.0866173165949848"	"0.500000000000142_0.499999999999859"	NA
