simNum	IVsNum	plei_test	P	eff
41	82	0	3.89678044101782e-07	-0.0986900167253271	
59	87	0.167	5.4519928673914e-05	-0.0747428841801839	
91	92	0.151	1.2204216449855e-07	-0.0923563179027872	
93	88	0.059	5.67378024796732e-05	-0.0732577503732587	
13	92	0.57	6.39656939927633e-08	-0.0874853829287145	
55	96	0.65	4.78461569618525e-11	-0.104115248855937	
85	98	0.434	5.63009595407423e-10	-0.101919732284938	
53	97	0.261	5.50649479743248e-05	-0.0639464529683494	
79	99	0.109	0.000234491065196745	-0.0607528893104956	
43	98	0.216	4.37642542952998e-08	-0.0890728573809937	
67	100	0.774	2.62312570269778e-09	-0.0865120986840479	
97	103	0.255	7.02850486452533e-11	-0.107241162023703	
75	102	0.261	8.33909540950527e-11	-0.109270123037855	
11	101	0	6.45016967530532e-09	-0.103052638353282	
23	101	0	2.23362189103627e-07	-0.087639108001835	
3	100	0.001	1.0902669359015e-08	-0.0959728089817086	
61	99	0.087	3.53718528564235e-10	-0.109921199448172	
81	104	0.072	9.20946829065902e-10	-0.10458573749779	
31	106	0.097	7.17975452208266e-08	-0.0887752426536527	
37	99	0	3.49475256547617e-06	-0.077806057100562	
17	102	0	5.51328068754935e-06	-0.0861268989638312	
5	105	0.484	8.60889518974923e-11	-0.101936421627696	
51	105	0.009	5.56429717208084e-09	-0.101091741996703	
19	106	0.024	7.35910686294405e-07	-0.0769685884173775	
65	106	0.266	1.7454593187638e-10	-0.103365037560886	
73	112	0.242	4.40140518458936e-05	-0.060480128594144	
1	111	0.004	6.3645695384826e-07	-0.0848618720481408	
25	110	0.524	2.79197002028202e-11	-0.0984032817267037	
87	109	0.269	1.40179423740319e-09	-0.0933246471304737	
63	107	0	8.16899739315741e-08	-0.0881069214364366	
39	113	0.319	1.38380833644927e-05	-0.0628744934321888	
21	109	0.205	1.17441882972928e-11	-0.111718727957067	
71	113	0.335	1.02896581111197e-09	-0.0871765478940811	
49	111	0.027	0.0327189928945664	-0.0336475037662947	
57	111	0.487	1.90544230499534e-06	-0.0696380375811174	
35	109	0.019	3.09384352516998e-06	-0.0759924206930996	
95	111	0.009	2.37330694413562e-06	-0.071700550088382	
33	117	0.13	1.04636316850446e-08	-0.0888147146487236	
