"simNum"	"IVsNum"	"P_largestGroup"	"eff_largestGroup"	"eff_mean_minClass"	"sd_minClass"	"P_minClass"	"P_minClass_mean"	"eff_mean_maxClass"	"sd_maxClass"	"P_maxClass"	"P_maxClass_mean"	"corTest_1"	"CHVP_test"	"AIC_1"	"gamma_1"	"prop_1"
"85"	78	3.30667785601794e-05	-0.114519480328008	-0.108251244704814	0.0259659432080735	3.30667785601794e-05	7.94271420197357e-05	0.139911752166361	0.0378605077700701	0.000191025982514202	0.000408786262289889	0	6.4618485562886e-08	-455.511954061333	"-0.114519480328008_0.148389334117023"	"0.505734345266836_0.494265654733164"	NA
"55"	100	5.3456915364411e-11	0.189147906448998	-0.116532751253227	0.0273384980171907	1.90986431907242e-05	4.61765758244121e-05	0.18416567036551	0.0256810343495543	5.3456915364411e-11	1.36290453424078e-10	0	1.08582995816e-15	-574.616562599307	"-0.122818605249243_0.189147906448998"	"0.494751586853313_0.505248413146687"	NA
"40"	88	0.00357637356303204	0.117777236251389	-0.0643878237506225	0.0442986202464507	0.0434388582601066	0.149684154163453	0.0929106685320709	0.0393278118266884	0.00357637356303204	0.0203841282050754	2.22044604925031e-16	0.00792141738019099	-529.262393781849	"-0.0907838331558311_0.117777236251389"	"0.498846762603289_0.501153237396711"	NA
"9"	99	0.0188801998251401	-0.0657053087876874	-0.0610511809730139	0.0275202959921344	0.0188801998251401	0.0288355179310089	0.182900583655279	0.0445830825444206	5.44284492253816e-05	8.45486061516593e-05	0	3.22103347701767e-06	-579.210724181054	"-0.0657053087876874_0.188180466838309"	"0.509562351588598_0.490437648411402"	NA
"93"	94	4.84098524178929e-05	-0.107571616496698	-0.110926121972122	0.0252358422421616	4.84098524178929e-05	2.93069084350257e-05	0.162764885275106	0.053564861785192	0.00397898682464705	0.00308509066973196	1.33226762955019e-15	3.79628783183621e-06	-536.411424877816	"-0.107571616496698_0.158201691835274"	"0.512932228611368_0.487067771388632"	NA
"78"	89	0.00602079573845156	-0.0931387701665892	-0.0944588839785669	0.033088353070544	0.00602079573845156	0.00537071829260248	0.067097345272992	0.0502363417124202	0.152956674063811	0.18511332297862	1.38402750149424e-07	0.00723778126512349	-514.671158637732	"-0.0931387701665892_0.0724221100245944"	"0.507342206990223_0.492657793009777"	NA
"24"	117	7.99443696148344e-08	-0.11833157410496	-0.112896338310111	0.020643931432017	7.99443696148344e-08	2.64104443267754e-07	0.136659193881022	0.0473284138930748	0.00351477823690691	0.00463394732591427	0	1.34430161469069e-06	-679.167268766164	"-0.11833157410496_0.141026501114113"	"0.510546764560868_0.489453235439131"	NA
"32"	122	4.61307032472134e-06	-0.102808436794038	-0.0957658301834713	0.0214256933785365	4.61307032472134e-06	1.77643740805715e-05	0.1189704122183	0.0382051066839975	0.00240857094014506	0.00230438296238276	0	9.47046984121105e-07	-722.817755771448	"-0.102808436794038_0.118430598786866"	"0.505213000298477_0.494786999701523"	NA
"62"	113	6.44261841159959e-09	-0.140428010627067	-0.13486163195983	0.0223400958221476	6.44261841159959e-09	2.08585276884437e-08	0.120849127551788	0.0438220586805138	0.0069568676577003	0.00679879875773768	0	2.00742986489801e-07	-656.37371131981	"-0.140428010627067_0.120496722529018"	"0.510823522867217_0.489176477132783"	NA
"47"	114	0.000598772463587597	-0.109820204078772	-0.108997350055117	0.0310952311531736	0.000598772463587597	0.000655033892804372	0.120453647722552	0.0473185040919879	0.0162712928965205	0.0122566208276369	4.44089209850063e-16	5.06969475645465e-05	-654.215007530993	"-0.109820204078772_0.1154239389844"	"0.503522285860386_0.496477714139614"	NA
"70"	111	0.000159455245875943	-0.129817299519397	-0.133173457051663	0.0331933569825361	0.000159455245875943	0.000110101104965187	0.109222091478586	0.0581672692142741	0.0914558544472349	0.0630675019267087	1.0902390101819e-13	0.000295327870116509	-597.465316506327	"-0.129817299519397_0.0990391056314655"	"0.507991009720873_0.492008990279127"	NA
"17"	114	0.991661297849971	-0.000789634141624198	-0.105922867865941	0.0517059200584784	0.453895731396508	0.0428217207036723	0.070169197560893	0.0753873869651518	0.991661297849971	0.353950790522919	0.26196300933529	0.0540686465452072	-621.185012389623	"-0.0388585854716502_-0.000789634141624198"	"0.494687707184925_0.505312292815075"	NA
"1"	126	0.000212131756860321	-0.11025957147374	-0.11379229123903	0.0288932827888968	0.000212131756860321	0.000135517326007788	0.144307247131627	0.0488625768196946	0.00556773228037082	0.00375668702725687	0	5.44854324626474e-06	-716.02157849299	"-0.11025957147374_0.137848709127261"	"0.505589667788221_0.494410332211779"	NA
"86"	112	1.51887826005655e-11	-0.121723601073317	-0.121315754773442	0.0161859277069084	1.51887826005655e-11	1.72556593896975e-11	0.167898766351952	0.0518082495490745	0.00200259914330438	0.00157370915769685	0	9.90744813161679e-08	-642.668694585061	"-0.121723601073317_0.16396635083138"	"0.524371856877903_0.475628143122097"	NA
