simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	AIC_1	gamma_1	prop_1
55	110	1.18886040793556e-18	0.220429853336948	-0.0896800263376438	0.0254233652072068	0.000216234947340477	0.00061528436794993	0.21799366556386	0.0206398497917156	1.18886040793556e-18	2.21295543195987e-18	0	5.69232269307497e-21	-644.428478989597	-0.097312689068319_0.220429853336948	0.495794724288196_0.504205275711804	
85	86	6.49309513762967e-06	-0.106464576701817	-0.100136763048876	0.0221390229187754	6.49309513762967e-06	1.96190747688676e-05	0.143507552807524	0.0373135228533603	6.16034346950306e-05	0.000231311977261119	0	1.9588006054654e-08	-510.668804369491	-0.106464576701817_0.157343030849165	0.516884089251322_0.483115910748678	
17	93	0.000287634352592168	-0.100168531890668	-0.0934645740012176	0.026566020174346	0.000287634352592168	0.000677245616350081	0.199576868054977	0.0350439392376176	6.09448035278495e-08	1.46452143687698e-07	0	2.66897361627251e-11	-538.499609006619	-0.100168531890668_0.206619048658377	0.502782315640662_0.497217684359338	
47	102	5.13273431842032e-06	-0.13456503731116	-0.128817096953662	0.0279342591599153	5.13273431842032e-06	1.17428975363443e-05	0.0790182698552992	0.0396445386957936	0.0304949043579075	0.048940234385237	0	1.82343539907011e-05	-593.355480745869	-0.13456503731116_0.086997791957309	0.504458137705108_0.495541862294892	
9	99	0.00194243430248734	-0.120580506965795	-0.109760321822584	0.0378608546961394	0.00194243430248734	0.00461948877924158	0.129622129686776	0.0411388563346921	0.000964433542830893	0.00215947399098535	0	1.85536509474365e-05	-560.98249434079	-0.120580506965795_0.140023266273082	0.502033599698854_0.497966400301146	
40	107	0.000233195927445062	-0.0963987568210366	-0.0865832574021477	0.0252999698104138	0.000233195927445062	0.000883481800560321	0.176985470775389	0.0337196227200526	4.43089362845074e-07	7.92378255860707e-07	0	4.0452743336869e-10	-616.615071158958	-0.0963987568210366_0.18150775062113	0.504894648595743_0.495105351404257	
78	102	0.00397129647420082	-0.069199338332481	-0.0725655359341903	0.0234721030501885	0.00397129647420082	0.00257371747062541	0.0827400099435789	0.0347645267604352	0.0275451155915104	0.0191888174297679	1.99615323825952e-07	0.00021351558963448	-598.783067668625	-0.069199338332481_0.0777369944879046	0.512766809656456_0.487233190343544	
70	93	9.78387788630965e-05	-0.109578545868028	-0.105922622180942	0.0268966235795149	9.78387788630965e-05	0.000159586581885963	0.116689672163327	0.0553013653949289	0.0501348579239954	0.0375667185646129	3.574918139293e-13	0.000294614433462534	-537.854722808672	-0.109578545868028_0.109767343133769	0.505358160693184_0.494641839306816	
1	92	0.125694850585845	-0.0739841998068025	-0.0753040449082688	0.0478705639417828	0.125694850585845	0.119171715975485	0.0549402099019665	0.0576950003775335	0.441274937992685	0.343491419851347	0.000462182164063574	0.0823315119897628	-523.291505945718	-0.0739841998068025_0.0446228013338745	0.50046514219899_0.49953485780101	
24	91	0.141861012290084	-0.0439950361253512	-0.0474472807045739	0.029688350206402	0.141861012290084	0.113508407777043	0.0992681319265571	0.0398042239916266	0.0166253677007443	0.0144611281954263	1.76976177757027e-06	0.00313072067192925	-528.521122163761	-0.0439950361253512_0.0971424792849479	0.509604358795455_0.490395641204545	
62	98	6.2003164333656e-09	0.168804929417154	-0.0481004538902459	0.0400502367064023	0.164743452269509	0.232674519000308	0.16296325106116	0.0264808349490075	6.2003164333656e-09	1.69781023419053e-08	2.66453525910038e-15	1.10283023673877e-05	-576.457672834691	-0.0560649938932162_0.168804929417154	0.497686702437611_0.502313297562389	
32	121	0.0188060735417439	-0.0930364688383363	-0.0831859875181631	0.0390633712076844	0.0188060735417439	0.0352548041213314	0.101092018729495	0.0482953290917531	0.0281460536538095	0.0384371431882824	4.44089209850063e-16	0.00301034248123975	-716.604031788989	-0.0930364688383363_0.107320541266536	0.501818816077064_0.498181183922936	
93	128	1.85910630140463e-06	0.193307557903256	-0.0858940429897268	0.0346267167428077	0.00643026117483803	0.0144255893233109	0.189428207373793	0.0386590365083142	1.85910630140463e-06	2.8636671491257e-06	0	1.12710997244006e-07	-734.330879161833	-0.0959471134825874_0.193307557903256	0.499569107695936_0.500430892304063	
56	106	0.00480416780708373	-0.096773065300009	-0.0858062518040524	0.0335878941715868	0.00480416780708373	0.0120625164223844	0.13602255841649	0.050628039153277	0.00724657355167406	0.00839084958335771	0	0.000261103258981214	-613.714342927523	-0.096773065300009_0.138658309524297	0.502539938391468_0.497460061608532	
18	101	0.331944969503952	0.0413584399126514	-0.0954099886370909	0.0518528878617675	0.139483352145193	0.0687323808665424	0.0472795317271313	0.0424217362636509	0.331944969503952	0.267731070833958	0.000109803623594917	0.0331836434883268	-580.891894033755	-0.0772387499621556_0.0413584399126514	0.499742122133258_0.500257877866742	
48	113	0.00290736898501423	-0.0899735907838169	-0.0776733568044498	0.0295550042829208	0.00290736898501423	0.00979074051357185	0.102459139101176	0.0349807146704558	0.00136395342596731	0.00412070840023921	0	8.3723198947069e-05	-689.303442979763	-0.0899735907838169_0.114893688975951	0.503858143934899_0.496141856065101	
86	99	0.00159782718118012	0.145377324731677	-0.0148673018710386	0.0441414281002115	0.800463211460733	0.736979878063877	0.15548432171961	0.0447746339544602	0.00159782718118012	0.000768650720219757	4.94324883471009e-07	0.00674089303917753	-566.840998808689	-0.0111869703444339_0.145377324731677	0.496385261793065_0.503614738206935	
