"simNum"	"IVsNum"	"P_largestGroup"	"eff_largestGroup"	"eff_mean_minClass"	"sd_minClass"	"P_minClass"	"P_minClass_mean"	"eff_mean_maxClass"	"sd_maxClass"	"P_maxClass"	"P_maxClass_mean"	"corTest_1"	"result_1.chi2"	"CHVP_test"	"correct_factor"	"AIC_1"	"gamma_1"	"prop_1"
"3"	109	0.000308615970420301	0.0928419523770696	0.084551434390275	0.0218372866491676	4.53460045377004e-05	0.00018534411806065	0.0979645584635667	0.0249005182770615	0.000308615970420301	0.000147899196668664	0.999652757627947	NA	0.685483799046513	1.32023666483158	-698.315685993845	"0.0928316350365728_0.0928419523770696"	"0.499999999999787_0.500000000000213"	NA
"2"	108	3.2348491119084e-05	0.108973642290398	0.0986428234595637	0.020330078865364	4.84528641480986e-07	4.17767075615794e-06	0.114894042598973	0.0251055173351056	3.2348491119084e-05	1.28022219936651e-05	0.9991425522605	NA	0.614922649867364	1.03874760091781	-691.032718237318	"0.108950605089589_0.108973642290398"	"0.499999999999657_0.500000000000343"	NA
"4"	109	0.00206564296208618	0.102101717743726	0.085227260869753	0.0323400543972707	0.00206564296208618	0.00964153190138727	0.115007524019472	0.0281040712450967	0.00043040236075793	8.26324277744498e-05	0.999999666651569	NA	0.487014432363776	1.27167422905964	-648.495085089719	"0.102101730749017_0.102101717743726"	"0.5_0.5"	NA
"5"	109	1.34646320860686e-09	0.0980145656811591	0.0982167784632142	0.0147758871598056	1.34646320860686e-09	1.26058013264733e-09	0.099574672541676	0.0153362323530386	4.27854168282387e-09	2.64260677308518e-09	0.999755367274353	NA	0.949159449270594	1.73438405333092	-682.107499773013	"0.0980145656811591_0.0980219836529544"	"0.50000000000013_0.49999999999987"	NA
"6"	108	0.0360631111985789	0.0646796254419836	0.0507457190519366	0.0204259868001173	0.00201876087451044	0.0145281721439082	0.0862761060665621	0.0304667061377718	0.0360631111985789	0.00553106667562712	0.998949431766908	NA	0.332719060337548	1.78519402930987	-704.154576444442	"0.0646518959039776_0.0646796254419836"	"0.499999999999852_0.500000000000148"	NA
"1"	120	8.87728347330055e-08	0.102144711484642	0.0929276305501972	0.017921380019373	8.87728347330055e-08	8.95025673926656e-07	0.108404458834417	0.0200397732606682	1.29429223117391e-06	3.31723756319049e-07	0.99719631271347	NA	0.564830374302843	1.28983183695983	-780.304826350548	"0.102144711484642_0.102214526543066"	"0.500000000001179_0.499999999998821"	NA
"8"	119	5.02027568612385e-05	0.0630444027138907	0.0588339733640171	0.0149765866079657	5.02027568612385e-05	0.00014449343430935	0.060876430861201	0.0146396104139819	3.44615806839328e-05	6.10777353294442e-05	0.999895404117207	NA	0.922310432943084	1.26551823063817	-761.857338857122	"0.0630444027138907_0.0630476285715463"	"0.500000000000069_0.499999999999931"	NA
"10"	103	3.19449768611472e-05	0.0639228745917859	0.0625735170091569	0.0146838008671519	3.19449768611472e-05	4.53831686078763e-05	0.0695749355956799	0.0165196714657625	0.000192147779969255	5.47812457824516e-05	0.999743744004905	NA	0.751416086979876	1.5084664653375	-672.273118980991	"0.0639228745917859_0.0639299761592753"	"0.500000000000201_0.499999999999799"	NA
"9"	116	0.0888750875401853	0.038787986431664	0.0435348299824776	0.0226051780769605	0.0888750875401853	0.0565882471725054	0.103786775377449	0.0313061665964042	0.000763901477134236	0.001225485989869	0.000916393165441898	NA	0.118677183865245	1.70770213464886	-743.690894759478	"0.038787986431664_0.108255869785694"	"0.502811752289146_0.497188247710854"	NA
"11"	115	0.00912255670696256	0.0913301753986302	0.0708083242964633	0.026941777208004	0.000962099199991934	0.00976625889295639	0.118033702145714	0.0344285483143876	0.00912255670696256	0.00084581592861195	0.999746982059724	NA	0.280030999059771	1.07253442237319	-723.397005825801	"0.0913220619537676_0.0913301753986302"	"0.499999999999786_0.500000000000214"	NA
"7"	103	0.0179043233940069	0.0860588320051108	0.0655161842307403	0.0357606796270167	0.0179043233940069	0.0698584058011324	0.102915203648053	0.0312304502173547	0.00687096669392645	0.00135267152319013	0.99612976743982	NA	0.430865515849688	1.59228406094669	-661.692274294345	"0.0860588320051108_0.0861687795998728"	"0.500000000000444_0.499999999999556"	NA
