simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	correct_factor	CHVP_test_correct	AIC_1	gamma_1	prop_1
10	103	0.000132220015862587	0.0640212573616499	0.0617753030639654	0.0161566773029173	0.000137907311576764	0.000226668527744308	0.0666596103614549	0.0161114652957813	0.000132220015862587	7.23580264198658e-05	0.999719429410869	0.83049716907173	1.2500973237346	0.895636282627612	-672.291278225853	0.0640135195957569_0.0640212573616499	0.499999999999999_0.500000000000001	
8	119	7.29248007514352e-05	0.0631821631973799	0.0610664807575038	0.0153664587550451	7.29248007514352e-05	0.00012211982357673	0.064828840598196	0.0157568060390984	0.000106852320920818	7.21976782937866e-05	0.999927035851009	0.864267129242441	1.12193121883311	0.89554692838453	-761.894783190497	0.0631821631973799_0.063184423824594	0.500000000000001_0.499999999999999	
5	109	1.47350858155653e-07	0.0980432614637002	0.094117356477981	0.0195164923708254	2.0222435308783e-06	4.67427298095926e-06	0.0991728210615837	0.0174300383843725	1.47350858155653e-07	1.10143256811481e-07	0.999775136526294	0.846800987904762	1.08659938267737	0.871418963122292	-682.108627650243	0.0980364467254805_0.0980432614637002	0.499999999999997_0.500000000000003	
4	109	0.000954403691671082	0.102354684732916	0.0881418920181265	0.0301302937985034	0.000954403691671082	0.00419416234517008	0.112975777622564	0.0289817978462378	0.000608524249904985	0.000168575795849809	0.999988189135132	0.552498439687363	1.2105929278146	0.633335499777197	-648.550277751588	0.102354684732916_0.102355141783685	0.5_0.5	
6	108	0.0012574261743607	0.0646777335235527	0.0524061095564033	0.0195189224377287	0.0012574261743607	0.00841086020685972	0.0799945111888242	0.0282167406770912	0.0237992551035723	0.00548008238418591	0.999049621589071	0.421343105088069	1.16648278729621	0.482369038164371	-704.160512646416	0.0646777335235527_0.0647028450993295	0.50000000000007_0.49999999999993	
3	109	0.000221372090369034	0.093051901031124	0.0848923037403286	0.0222725524827123	5.99962261365159e-05	0.000230081945262536	0.1000963134482	0.0243442219461194	0.000221372090369034	7.68228664065845e-05	0.999660236375754	0.64494970460086	1.34034128829149	0.763891378127145	-698.395471626293	0.0930418627657467_0.093051901031124	0.499999999999996_0.500000000000004	
2	108	2.21432660446504e-05	0.108903993284805	0.0997838587610246	0.0225784414634295	4.71677592476643e-06	2.38103086799685e-05	0.116617227390712	0.0245391409452282	2.21432660446504e-05	6.29348219466748e-06	0.99938809961581	0.613692790134778	1.48816713175196	0.777052640717919	-691.016386803686	0.108887581613378_0.108903993284805	0.499999999999998_0.500000000000002	
11	115	0.000772681519056998	0.0915772975409927	0.0714178050689445	0.0265026770248381	0.000772681519056998	0.00810978536938758	0.11767555500968	0.0346073435609117	0.0092879833737198	0.000928587017745088	0.999881620705937	0.288595031823305	1.18475553917664	0.344457423809931	-723.509620529959	0.0915772975409927_0.0915811020055755	0.500000000000011_0.499999999999989	
7	103	0.00471271253481767	0.0861846916455694	0.0666011464738888	0.0301377715638153	0.0052148180642823	0.0293482390416296	0.105835968138206	0.0298260276740267	0.00471271253481767	0.000587445049401966	0.99497067138982	0.354799787382057	1.65819961107227	0.562643346130276	-661.68402146781	0.0860420641328496_0.0861846916455694	0.499999999998216_0.500000000001784	
12	90	0.000215131170073772	0.124298553653415	0.0521031393134669	0.0334899049195571	0.211572202708954	0.123307890099874	0.112936436863258	0.0322092235500403	0.000215131170073772	0.000714046392297477	0.000431926520767068	0.19045818504466	1.40610555443597	0.284834027763876	-564.236944003089	0.0421405437217283_0.124298553653415	0.498653554736144_0.501346445263856	
