simNum	IVsNum	P_random	eff_random	AIC_random	gamma_random	prop_random	P_fixed	eff_fixed	AIC_fixed	gamma_fixed	prop_fixed
35	103	0.00824130184708945	0.0652063750601554	-590.407065698865	0.0652063750601554_0.350845094298206	0.513524479907075_0.486475520092925	0.000944699706232378	0.0600124912999291	-590.482991266603	0.0600124912999291_0.411173365915967	0.582344371822617_0.417655628177383
73	100	0.000842197620590376	0.0842714769723561	-590.575214017373	0.0842714769723561_0.312449624766354	0.517602767947531_0.482397232052469	0.000119197881656037	0.0736200807071255	-590.926712642527	0.0736200807071255_0.379709857697785	0.587250325018076_0.412749674981924
4	105	0.0469225470581787	0.0382492865406472	-617.180344984712	0.0382492865406472_0.352511032725464	0.54406922098404_0.45593077901596	0.0494353042110963	0.0382493090719069	-621.18034687245	0.0382493090719069_0.352511089157967	0.544069343614277_0.455930656385723
72	110	0.0159973405216715	0.061220265573166	-646.994695294582	0.061220265573166_0.252705378671215	0.508461815287706_0.491538184712294	0.0205087540991156	0.0453648732610638	-648.088260534341	0.0453648732610638_0.285124522229666	0.53657215427893_0.46342784572107
62	108	0.0890829669551633	0.0316700934984682	-622.422457376642	0.0316700934984682_0.368001216536678	0.535894589375121_0.464105410624879	0.0706105768836513	0.0324612542629367	-626.741508417025	0.0324612542629367_0.38052260003778	0.549219745750437_0.450780254249563
46	115	0.000816932329762168	0.0795627835962538	-665.908123494816	0.0795627835962538_0.31973808015714	0.509977610182559_0.490022389817441	0.000139152196730356	0.0710436305724799	-667.821866755842	0.0710436305724799_0.361767460771432	0.55749641169181_0.44250358830819
84	98	0.12136120972994	0.041456158492873	-576.413473698325	0.041456158492873_0.296803483558421	0.510315005304412_0.489684994695587	0.10616692679977	0.0354326401195596	-580.236254066129	0.0354326401195596_0.316953277341715	0.531522147197589_0.468477852802411
34	125	6.42776714602103e-06	0.0978057527537355	-720.140693724725	0.0978057527537355_0.317267508000687	0.518384608802248_0.481615391197752	3.26457348337124e-08	0.0859439020028307	-718.656242269751	0.0859439020028307_0.392683570652558	0.600701040010776_0.399298959989224
39	111	0.0585172186974389	0.0448234577238279	-640.898997107721	0.0448234577238279_0.320245435648024	0.505187625854873_0.494812374145127	0.0354556439031836	0.0430673183098221	-643.919566985263	0.0430673183098221_0.341845113077874	0.528427481459519_0.471572518540481
8	112	0.0279911040696612	0.0595884365864363	-641.54094127492	0.0595884365864363_0.298325251248135	0.506952853055433_0.493047146944567	0.0249899151377849	0.0478713923428821	-640.671207526896	0.0478713923428821_0.324923179742441	0.5381364285315_0.4618635714685
22	109	0.0102423413161741	0.0937684152145053	-633.156907744925	0.0937684152145053_0.238254632545947	0.501089960888057_0.498910039111943	0.0110167108832432	0.0812822154745357	-636.843138541221	0.0812822154745357_0.254741397483004	0.50590265004028_0.49409734995972
98	102	0.000159979959362011	0.0927743978954229	-600.214070115753	0.0927743978954229_0.303928514698832	0.521016121077669_0.478983878922331	3.52831779027713e-05	0.0750788805693652	-596.949430868594	0.0750788805693652_0.366279352113133	0.587537404574184_0.412462595425816
55	100	0.00417686220755795	0.0718972917807954	-590.293584495939	0.0718972917807954_0.327734036040117	0.514029505520331_0.485970494479669	0.00112064111383023	0.0627389234510113	-591.239646633872	0.0627389234510113_0.382048545772835	0.57188899422585_0.42811100577415
97	109	0.00102281277471884	0.0809846526692926	-614.232251395023	0.0809846526692926_0.379241272288651	0.506170503709551_0.493829496290449	0.000178191018399605	0.0788679391925434	-616.558415995358	0.0788679391925434_0.41154904534915	0.544893185437592_0.455106814562408
92	96	0.297179981531011	0.0361074605740879	-537.683007290941	0.0361074605740879_0.304744647846687	0.503207208103992_0.496792791896008	0.20650460930694	0.0284011077106646	-539.014807621867	0.0284011077106646_0.345712137540042	0.538093759524267_0.461906240475733
65	98	3.8074560117406e-05	0.122324260312884	-577.181746559018	0.122324260312884_0.32781428462062	0.506577607298683_0.493422392701317	2.42755899472481e-05	0.100709498864307	-577.222610328173	0.100709498864307_0.374140408290699	0.542935254284374_0.457064745715626
5	105	0.00407487064692159	0.0694142109999995	-612.472923182949	0.0694142109999995_0.354454693298538	0.510413784553974_0.489586215446026	0.00102073323362772	0.0693438509974642	-616.453518087886	0.0693438509974642_0.371154108621458	0.531916350358157_0.468083649641843
78	95	0.0273668361272546	0.0806812849663982	-528.214705540182	0.0806812849663982_0.324756715413712	0.500063868882468_0.499936131117532	0.0278605876722176	0.0736037869382088	-531.712387788066	0.0736037869382088_0.329183421033108	0.503465091861187_0.496534908138813
51	103	0.317231481544091	0.0386302747877265	-583.527028085271	0.0386302747877265_0.263657820360315	0.503601904423621_0.496398095576379	0.387967328176849	0.0240321386633261	-586.333355668214	0.0240321386633261_0.28877308954065	0.520290073007601_0.479709926992399
40	105	0.000235127869717943	0.0983577744507693	-606.420977718597	0.0983577744507693_0.298537410363014	0.510740532110745_0.489259467889255	0.000116495381962476	0.0844906713195013	-605.640888522173	0.0844906713195013_0.34095328190967	0.551318177897852_0.448681822102148
13	104	0.0243791215457364	0.0732787418977087	-596.911692062664	0.0732787418977087_0.245784629944523	0.505417370870244_0.494582629129756	0.0403482045225349	0.144293681371022	-595.664834181525	0.144293681371022_0.144394152238606	0.500000000005905_0.499999999994095
20	89	0.000515913047771073	0.139882939347228	-495.101247481495	0.139882939347228_0.242412807311681	0.501412061096807_0.498587938903193	0.000591355271753441	0.131871910745567	-498.78487222026	0.131871910745567_0.251187256141136	0.502921867231633_0.497078132768367
67	112	0.0102990878917969	0.0846540486620021	-648.2780847206	0.0846540486620021_0.261924443185895	0.502188501139537_0.497811498860463	0.0181154252412919	0.0696294471586863	-650.493071634256	0.0696294471586863_0.263631803779224	0.503417645376159_0.496582354623841
21	95	0.151569390854506	0.0449015793668014	-537.440884666658	0.0449015793668014_0.300962863301593	0.50178830198749_0.49821169801251	0.103814267107765	0.0362452756995066	-536.82878363329	0.0362452756995066_0.331646318980278	0.536514378490644_0.463485621509356
6	109	0.0126792318147351	0.068477249115385	-628.626989284619	0.068477249115385_0.282867699857405	0.501732755321547_0.498267244678453	0.0135889124004716	0.0564606802352649	-628.580324373426	0.0564606802352649_0.306259096396964	0.523208673601297_0.476791326398703
