simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	AIC_1	gamma_1	prop_1
62	108	0.0330634452749732	0.0316581136768819	0.0361447798704512	0.0146615425125066	0.0330634452749732	0.0152805353247012	0.358606429483199	0.043275909498827	1.21113093262653e-13	3.67619724108929e-13	0	1.69795290165286e-12	-622.407921630986	0.0316581136768819_0.367973220163431	0.535831054784959_0.464168945215041	
24	99	3.6096061367741e-05	0.0823472180732737	0.0857242859639467	0.019019834541657	3.6096061367741e-05	1.82071364030512e-05	0.402667091799539	0.0434402198390692	6.69775879716588e-15	4.66228858695521e-15	0	2.33280474284708e-11	-566.96078815696	0.0823472180732737_0.399515482241035	0.514945413640293_0.485054586359707	
47	100	0.0231007276073905	0.0810318568809061	0.0887465621056828	0.0351145588812346	0.0231007276073905	0.0130756707514265	0.211769084684397	0.0415097990063582	1.03771925779622e-06	1.62556463636366e-06	1.28055334913668e-06	0.0236547000662456	-601.814390322636	0.0810318568809061_0.216199996875703	0.518345574744318_0.481654425255682	
9	104	0.00251186335188863	0.0820028951999901	0.0858278435429453	0.0264702009104824	0.00251186335188863	0.00159747555317607	0.254963348789692	0.0425908965395008	2.14600332838708e-08	3.1594000440655e-08	1.3252576813727e-09	0.000743976877206623	-613.492937354515	0.0820028951999901_0.258567300290521	0.509420129228568_0.490579870771432	
40	105	6.1390901677242e-05	0.0983240439273909	0.0990822856070081	0.0235344293290229	6.1390901677242e-05	5.43693773328625e-05	0.290368651520741	0.045553815885332	2.19754243489147e-09	5.13342066096269e-09	4.42534897615587e-13	0.000190969424302777	-606.418514512253	0.0983240439273909_0.298565667519243	0.510782882454494_0.489217117545506	
55	100	6.77984486180469e-05	0.071888468121182	0.0738385366411244	0.0172799686576748	6.77984486180469e-05	4.43814969567807e-05	0.325083069119587	0.0427440095127511	1.24606590715226e-11	1.66420916851903e-11	0	5.05318590562064e-08	-590.269570764484	0.071888468121182_0.327615600563423	0.513979244327298_0.486020755672702	
78	95	0.107459782918495	0.0807409315304493	0.0892085619213275	0.0496793903433074	0.107459782918495	0.0757576410028308	0.323137244038402	0.0504383723210289	5.08171963625788e-09	5.85672738086048e-09	3.77475828372553e-15	0.000952258073953057	-528.21226501409	0.0807409315304493_0.32470547165031	0.50006168752911_0.49993831247089	
85	99	0.0407336104345671	0.0546263005241776	0.0560363967780078	0.0263429257621075	0.0407336104345671	0.0359146490337293	0.315577462899484	0.0435965684263318	1.02485338498478e-10	1.02741654087623e-10	8.88178419700125e-16	3.48184304607198e-07	-565.186600409842	0.0546263005241776_0.315600140522924	0.511378604375138_0.488621395624862	
1	110	6.41505377554406e-23	0.393074513157741	0.104306104581488	0.0324240526631696	0.00285144584670104	0.00170613844522567	0.388362681975531	0.0312922242656715	6.41505377554406e-23	1.39721362320863e-22	0	2.90475451721973e-10	-617.216213825047	0.0989742708762001_0.393074513157741	0.493591001492382_0.506408998507618	
32	93	0.0546069318301152	0.0863297331739358	0.0829537892019035	0.0443440182408064	0.0546069318301152	0.0645673286896484	0.322306574632114	0.0596306662535057	4.97141564509655e-07	5.07051040076177e-07	4.44693171175459e-11	0.00127772685156412	-506.226043305422	0.0863297331739358_0.322584618251186	0.505880412028148_0.494119587971852	
