"simNum"	"IVsNum"	"P_largestGroup"	"eff_largestGroup"	"eff_mean_minClass"	"sd_minClass"	"P_minClass"	"P_minClass_mean"	"eff_mean_maxClass"	"sd_maxClass"	"P_maxClass"	"P_maxClass_mean"	"corTest_1"	"CHVP_test"	"AIC_1"	"gamma_1"	"prop_1"
"1"	99	0.0717359790309046	0.0426870895773798	0.0468656390954556	0.0234480976461056	0.0717359790309046	0.0484111079962107	0.31911194198663	0.034526287797926	1.58679826274195e-15	5.33193419451732e-15	0	6.88750656398603e-11	-579.719868730315	"0.0426870895773798_0.327487686506422"	"0.516210301347264_0.483789698652736"	NA
"9"	104	2.49268954779578e-05	0.218359004216885	0.0942114670606917	0.0417305999615056	0.0319516573596477	0.0260797687307803	0.213457183737686	0.049453145731754	2.49268954779578e-05	3.6538779909512e-05	3.67032921433363e-06	0.0653519147746029	-603.524221720942	"0.0907458725006234_0.218359004216885"	"0.499861215082838_0.500138784917162"	NA
"85"	97	0.0614028757725881	0.0558507365855482	0.06531821059748	0.0295076261138469	0.0614028757725881	0.0292240535999653	0.319638370909258	0.0365814774747928	1.1881854610471e-14	7.63202364859662e-14	0	6.2609322298988e-08	-553.968604980927	"0.0558507365855482_0.333422492124864"	"0.50591830740851_0.49408169259149"	NA
"78"	103	7.98843531017365e-16	0.341439514540059	0.109869633116832	0.0317406993730372	0.00366459992951395	0.00078606353384686	0.324378381501306	0.0357451789985229	7.98843531017365e-16	9.06198132800979e-15	0	7.21357965500927e-06	-617.302943686883	"0.0944091991767678_0.341439514540059"	"0.495004016307768_0.504995983692232"	NA
"40"	105	7.75945810823558e-22	0.346306220938146	0.0569049715202468	0.0361538622121681	0.228780123748581	0.118532489296382	0.33589043367551	0.0283301192787563	7.75945810823558e-22	4.99167759894265e-21	0	1.24798606457815e-09	-590.956903376563	"0.0437690672024745_0.346306220938146"	"0.499994904895033_0.500005095104966"	NA
"17"	93	0.00113767417309381	0.154326261388769	0.14530056703157	0.0459367476170812	0.00113767417309381	0.00211567803355	0.270354134142107	0.0296981947734212	6.83752300541439e-14	1.75866158626868e-14	2.17097800805366e-05	0.022245974971332	-556.436581408791	"0.154326261388769_0.262025049312987"	"0.500254494441912_0.499745505558088"	NA
"47"	110	9.28525978794049e-17	0.344334024507793	0.176605336901752	0.0516743521176051	0.0114529691329091	0.000888973655603338	0.296590181264223	0.0349499115243702	9.28525978794049e-17	1.17754006909648e-13	2.22044604925031e-16	0.054438086988156	-645.979092345657	"0.13291365653617_0.344334024507793"	"0.496411039828799_0.503588960171201"	NA
"55"	101	0.00217059553039814	0.125268088780965	0.13700541059094	0.0397994566828586	0.00217059553039814	0.000843226766442283	0.322094004072959	0.0355122985664673	1.85705497302683e-15	1.08036420221536e-14	1.33226762955019e-15	0.000520460248662849	-601.893476513371	"0.125268088780965_0.334500699448589"	"0.500053605937682_0.499946394062319"	NA
"70"	108	0.00352400666668974	0.106667944043319	0.118174128669795	0.035745280300791	0.00352400666668974	0.00128868490276951	0.29958126800731	0.0372846052697737	1.57784382519587e-13	1.32654850534949e-12	0	0.0004445072812178	-643.130385728633	"0.106667944043319_0.315110297715702"	"0.501845988968146_0.498154011031854"	NA
"93"	101	0.0114309077044603	0.097927209553903	0.0971394610501927	0.0380027932773793	0.0114309077044603	0.0120892337696684	0.239837093542486	0.0489616979794706	3.62890136123527e-06	3.72436422620348e-06	2.03043390589741e-06	0.0213162620865055	-600.717406887355	"0.097927209553903_0.240146986284622"	"0.50082392693775_0.49917607306225"	NA
"24"	99	0.00725755515034978	0.0930210665300875	0.105947533489042	0.0339230001947731	0.00725755515034978	0.00235259223739696	0.331765351663383	0.0385927570634132	1.94347394815843e-14	1.33162797442206e-13	0	1.10858899966427e-05	-577.263504927493	"0.0930210665300875_0.346693048093502"	"0.501589612967808_0.498410387032192"	NA
"62"	117	0.000648228319316029	0.140595382841352	0.163729714628384	0.040104014026741	0.000648228319316029	8.21682083115672e-05	0.306399328122378	0.0501007384972448	1.33519435220214e-09	1.33339063963335e-08	1.2330136911487e-12	0.0262065099235274	-677.170869943242	"0.140595382841352_0.330307300814181"	"0.50103169506273_0.49896830493727"	NA
"32"	111	7.29230490081523e-12	0.316573396804529	0.149552105471079	0.0450902197554883	0.00135547274922957	0.00123476523655015	0.317778379062082	0.0412587041517975	7.29230490081523e-12	6.28656153627485e-12	4.68181049484429e-11	0.00591450760575662	-648.176248919391	"0.148254361195344_0.316573396804529"	"0.499966344352507_0.500033655647493"	NA
"79"	117	1.73266115857473e-19	0.310466934247387	0.175795543038237	0.0384045142123137	2.38325630136069e-05	1.1895139177185e-05	0.302833471379594	0.0284704961639578	1.73266115857473e-19	7.42999281024164e-19	5.2027582242431e-10	0.00787628850719219	-712.828823572669	"0.169118977642488_0.310466934247387"	"0.495848088015089_0.504151911984911"	NA
"2"	93	0.000255522016004208	0.13831828034654	0.136664255771573	0.036355587166525	0.000255522016004208	0.000299274655477749	0.303183922665321	0.0419648570278493	3.39046006594379e-10	1.42578623427445e-10	6.99008553262104e-08	0.0027075715041566	-539.079130244452	"0.13831828034654_0.295413085944746"	"0.504999986749358_0.495000013250642"	NA
"48"	95	0.00372747292605813	0.117322565094174	0.120373860889182	0.0394406535802625	0.00372747292605813	0.00295511367954751	0.314980005871846	0.0393261232136086	8.96446872312207e-13	3.05056099672866e-12	7.14983627858601e-14	0.000475767695935883	-553.741341477135	"0.117322565094174_0.324925147812714"	"0.502225717892978_0.497774282107022"	NA
"94"	108	2.08177838301322e-10	0.296609736203922	0.119101109337391	0.042864760177666	0.00991573154608996	0.00645068561136758	0.287772539715665	0.0422286612403121	2.08177838301322e-10	5.77379542751305e-10	5.93902704792981e-12	0.00506040323946549	-637.260900284211	"0.112547076627529_0.296609736203922"	"0.498339867509043_0.501660132490957"	NA
"86"	94	6.2113476725059e-09	0.330441985641584	0.11664381103243	0.0365167634713094	0.00501582222157445	0.00191432159139545	0.32458058448685	0.0516277504042311	6.2113476725059e-09	1.03892487866976e-08	2.52686760404686e-13	0.00100822376705457	-540.849813179934	"0.104965965119479_0.330441985641584"	"0.499241477453878_0.500758522546122"	NA
"41"	122	2.15861254575656e-32	0.390824213096665	0.0593257916440317	0.0323561499518671	0.111758287200151	0.0691823147156636	0.383068989059814	0.0239251426059647	2.15861254575656e-32	1.14013774255288e-31	0	8.61602091980791e-16	-692.775247005421	"0.0518352530521949_0.390824213096665"	"0.490606014956908_0.509393985043092"	NA
"18"	127	7.06306443038857e-10	0.267813221189086	0.16055283127411	0.0446535492081155	0.000594231195317011	0.000463175499169205	0.260919984069367	0.0401217142319161	7.06306443038857e-10	1.66953316274206e-09	2.4439226581574e-05	0.0945383414760537	-746.690623401089	"0.157334351206928_0.267813221189086"	"0.499691505065666_0.500308494934334"	NA
"33"	101	0.209193692524694	0.0255264690429492	0.0330429546001677	0.0201961181128701	0.209193692524694	0.104961446799969	0.394294144496545	0.0450347766367194	1.82128086424103e-14	5.25253235553688e-14	0	2.49273352441369e-13	-559.150761824332	"0.0255264690429492_0.403788310667632"	"0.543835531219624_0.456164468780376"	NA
"10"	124	2.36644475286536e-13	0.315745759147602	0.13109751143066	0.0343253549444065	3.1647732352753e-05	0.000211139977710476	0.320722657717609	0.0383977330852342	2.36644475286536e-13	1.17643340104857e-13	1.86326110096502e-09	0.000231604220585593	-713.331017919076	"0.148334128870419_0.315745759147602"	"0.497182743154723_0.502817256845277"	NA
"63"	109	1.89180083124163e-20	0.308013264535848	0.117114761034589	0.0393768141635421	0.00473598684256858	0.00362391421691656	0.299321743528	0.0268014107666167	1.89180083124163e-20	1.02670640532646e-19	8.88178419700125e-16	0.000130628308451606	-654.759118344367	"0.113574893109191_0.308013264535848"	"0.496944236212742_0.503055763787258"	NA
"56"	115	5.78312750856894e-06	0.176235489478503	0.179515808181108	0.0370421631772319	5.78312750856894e-06	4.00372115499284e-06	0.284727970630615	0.0457363948560915	9.08725547985393e-09	8.23526900955703e-09	9.60679806563114e-05	0.0738336268919411	-681.939603709241	"0.176235489478503_0.283781051435528"	"0.502788384082912_0.497211615917088"	NA
"71"	124	2.04074045495738e-22	0.34369594445754	0.212324944624356	0.0454877162810711	1.15620505603125e-05	7.82897009460279e-06	0.342854596506493	0.0286648556248493	2.04074045495738e-22	2.4029413537172e-22	2.34492356643301e-08	0.0151938135727815	-735.834454791239	"0.208004330180449_0.34369594445754"	"0.497455660168692_0.502544339831308"	NA
