simNum	IVsNum	P_mbe	eff_mbe	P_egger	eff_egger	P_ivw	eff_ivw	P_weightedMedian	eff_weightedMedian
31	109	0.00394939746251999	0.161915479675832	0.0156569351953275	0.156554148184237	1.19402330199906e-23	0.170249116590262	6.08535195682153e-15	0.157686420689703	
91	96	5.07124432703975e-05	0.243200396505911	0.0146192720065994	0.145429491285092	5.27982545415103e-38	0.192490981328645	1.7951322435863e-23	0.221087339314077	
86	121	3.65882697924469e-06	0.20939148513314	2.70823614600957e-06	0.276664202401508	5.66275802161838e-41	0.202928243265162	3.89796441544609e-27	0.204502415758281	
11	102	2.70063273813976e-05	0.19454565940494	0.00925617782372057	0.14670147257748	1.02022508990263e-40	0.220167782116353	1.07999215906302e-24	0.217546389257875	
61	115	0.00195044339588984	0.15382672358078	0.00128726132652135	0.170033458268975	1.70576922681351e-42	0.188901944147457	1.41483606048804e-20	0.183540855076679	
1	104	0.000970488816436339	0.170393503926072	0.023355007856781	0.145669770153175	6.70971980783519e-26	0.173500406573418	3.45203969256739e-15	0.171116495622648	
96	111	0.00258168965433841	0.161125010231176	0.00606282506337918	0.186662509367462	4.44680397678592e-17	0.15558249660498	7.22381295330125e-15	0.162897437059287	
51	100	0.00662641504133521	0.150364388616531	0.000524333097952523	0.218604328961756	2.34440405802568e-31	0.184404222906269	1.04134162536998e-13	0.165150220877318	
46	103	0.0265829353993173	0.117289329744483	0.00058613436423971	0.180763477288777	4.59938546709862e-44	0.197454804297615	5.61365803750508e-18	0.185190466203621	
21	90	6.83921088470476e-05	0.218232539895927	1.20472256286419e-05	0.254919262227622	4.82601740201056e-26	0.17015424081321	1.0273053068524e-17	0.192985580765253	
76	121	0.00964895390166124	0.144413581566323	0.000198394386230483	0.208578674570337	1.17851555331984e-33	0.175152522877967	1.099269037489e-15	0.162108638139291	
66	114	0.000967809087969996	0.191729133194876	0.000622130339217541	0.200181185510762	4.72351988469147e-39	0.196439990083867	1.39733144290517e-23	0.205372819864109	
41	112	2.927619523666e-05	0.179706722582017	2.24418425347483e-05	0.283567257857224	3.78444933004542e-30	0.180028641446202	4.49557878313478e-19	0.178250250284589	
71	106	0.000376515616898115	0.184474143466227	0.0053258253688131	0.16814775033977	5.62526778548601e-29	0.164367430268457	1.20192717800037e-17	0.176232956715424	
26	119	0.00621545744229586	0.129001896884405	0.000231946109551684	0.205164999381475	5.93039988395874e-37	0.182650441262488	2.02152608117771e-16	0.161026649650992	
6	104	0.00141690726677573	0.168786113517698	0.0251602004668821	0.137721942536542	3.5769467978832e-24	0.175450456032611	1.44804393350455e-14	0.172648994812533	
36	99	0.0264208549896506	0.122556348674611	0.000538442105236125	0.187219766640534	1.11520455515297e-37	0.185789177408455	4.04775778514704e-17	0.181221937809686	
16	121	0.00812387030369532	0.142535748126783	0.00198868629802362	0.172055936799043	7.2141309456043e-33	0.171131005900282	6.46593578567432e-17	0.163915224297356	
56	89	0.00919666809763349	0.135611579625057	0.00446267912457765	0.20171062539876	9.75827783971448e-25	0.186412327890088	2.46844378840555e-14	0.175933840720874	
81	115	6.18277947702971e-05	0.184541770097301	7.58842860835163e-05	0.210246443929449	1.47070334604874e-44	0.186753604453555	3.90021433376241e-22	0.18865648591969	
32	99	1.02663612457008e-05	0.251190727903083	0.00530255841048266	0.184515876969552	5.40653707900942e-34	0.212005190230864	9.11501038650809e-25	0.230795570281368	
62	97	0.000394893171881767	0.188675125831964	0.000363502598038634	0.241197167727921	7.34746128630114e-31	0.204474528540768	2.74836495651041e-20	0.207249377784688	
92	101	0.000487190951349471	0.179015974596821	0.0163042890607459	0.14866613459591	5.72818659746704e-24	0.157972818387721	5.7763496021781e-14	0.160701269227033	
12	107	0.0165336182930225	0.13198423388095	1.47327594790525e-07	0.272082523906994	1.15921066220094e-32	0.163286148864804	1.5614186320183e-15	0.161302315754539	
87	110	0.000981358729761307	0.172720256794539	0.399402952685834	0.0442621500308572	3.14465397897891e-29	0.16214787979507	4.03100458804355e-17	0.171458683142043	
2	101	0.000205060479126149	0.177079318947622	3.40111785963604e-05	0.221738726430254	1.62153678850373e-36	0.176320130721954	6.02968728804622e-19	0.179192614661083	
97	106	5.69101138442532e-06	0.199077623699458	0.000310642091515101	0.188913197756646	1.43258734446968e-49	0.199761088043595	1.82021471565957e-23	0.195791037489894	
47	124	0.00410502893748547	0.137355803755405	0.00157152367811619	0.161019509899791	6.56620741342727e-38	0.167727248615564	4.24146790569749e-17	0.160436366574903	
77	118	3.69803827887428e-06	0.20760914648557	0.000520881806914897	0.255120336646232	2.19229498794836e-19	0.167259482951849	1.3560912913117e-20	0.187813288568647	
67	94	0.00169911937054289	0.164691749148752	0.00683120013310878	0.188713283737289	1.90752263782314e-23	0.168313737905125	2.29764881817178e-14	0.166648564794475	
27	103	0.00132463495741088	0.139755893614078	0.00632128649253039	0.170107591104955	6.24184555516038e-25	0.170699112306516	5.53303299323089e-14	0.163716251385164	
7	93	0.00136423728069295	0.23343068247869	0.0329075807731987	0.162236713654688	9.06429048291384e-17	0.161503334684455	1.7769546069956e-13	0.178071106338797	
52	119	3.16884812355222e-05	0.173834873026053	0.00352190631869487	0.172385993614398	3.25767127728366e-33	0.18903622548707	1.01875937040248e-23	0.194928084971043	
42	123	0.000945016303063242	0.181409054364978	0.000170185044220394	0.216850786225683	3.8194474405991e-38	0.19621068023778	7.43379220446963e-23	0.192135442006185	
17	124	0.0917901296236239	0.0842196748028996	0.000184822705519672	0.179136398798712	1.17771887097606e-29	0.158432356227349	1.64475015778462e-12	0.136576324134165	
22	122	8.48400208466041e-06	0.207813826473252	0.0124260982936368	0.145275081006842	3.03963462831784e-41	0.20174004207351	3.41366600598702e-26	0.204187848789143	
37	122	0.000588051046371878	0.174890687484192	0.0814763841235682	0.10732527818414	3.55569875487452e-31	0.174788809758184	2.66527903117182e-17	0.169571991066428	
57	112	0.00206650779394902	0.135892750396494	0.0213419707283955	0.106622464103786	4.72071512921149e-36	0.17716921818054	1.34444083953625e-14	0.15653417643336	
