simNum	IVsNum	P_1	eff_1	eff_mean_minClass	sd_minClass	P_minClass	P_minClass_mean	eff_mean_maxClass	sd_maxClass	P_maxClass	P_maxClass_mean	corTest_1	CHVP_test	correct_factor	CHVP_test_correct	AIC_1	gamma_1	prop_1
3	99	0.0388832607595913	0.0368101191779038	0.034149457344302	0.0175827724089678	0.0388832607595913	0.0549824071628771	0.0390901031110806	0.0166260154604739	0.0291290484673876	0.0207181934785438	0.999861037016391	0.838220907548876	0.706323898784387	0.715445239977871	-643.3042664529	0.0368101191779038_0.0368142215888529	0.5_0.5	
5	97	0.0209138629994666	0.0697531413411838	0.0103015821337268	0.0301327488871628	0.891055746140643	0.733193509264476	0.0638729980016565	0.0297044315335274	0.0209138629994666	0.0340445978751135	0.0034062676889306	0.205479508697527	0.579181676924364	0.109007775980165	-618.855835414799	0.00413820028925905_0.0697531413411838	0.499943093504299_0.500056906495701	
4	112	0.449273421471737	0.0195073025248482	0.00353698557453941	0.0278429672906331	0.486123754505682	0.899143836724694	0.0348510636289186	0.025690644479541	0.449273421471737	0.177671728737902	0.998133309837036	0.408483287501384	0.959153521764922	0.39314988077116	-717.751750245489	0.0194573301043023_0.0195073025248482	0.499999999999999_0.500000000000001	
2	110	0.165053421378488	-0.0382327070717339	-0.0262482153230849	0.027354804804759	0.165053421378488	0.339406999558478	0.109521136972921	0.0346195228432067	0.000719880032003034	0.00201974368036938	4.53415083256914e-13	0.00209025988340365	0.774642047747943	0.00133109699941182	-687.611897004325	-0.0382327070717339_0.120507259585423	0.501621223097699_0.498378776902301	
1	109	0.310924283159123	0.0279660575790981	0.0266825768562417	0.0274699291767534	0.310924283159123	0.333550582078365	0.0945978266003275	0.0285589707807895	0.00127600272317158	0.00125900853671754	0.00242000190446623	0.0865451343791187	1.03246852078768	0.0904386893586125	-682.898746346622	0.0279660575790981_0.0944796636269288	0.501767581143772_0.498232418856229	
7	103	0.00732091683761899	0.0673379578740152	0.0130010525210206	0.0288358528559633	0.797025333944736	0.653044460286931	0.0614395511443749	0.02460499185756	0.00732091683761899	0.0141238847190575	0.00830699362438758	0.201306777275731	0.864486593631968	0.169724469771438	-661.906573034626	0.00743595620824614_0.0673379578740152	0.497484878760658_0.502515121239342	
6	110	0.79291667177225	-0.00684644439316531	-0.00744045218732242	0.0260153298871792	0.79291667177225	0.775418964110082	0.0835843494700894	0.0312558021085661	0.0106264269935558	0.00864365153024825	5.21403241222629e-05	0.0251980987056603	1.37629277314516	0.0424813264968724	-685.804305102608	-0.00684644439316531_0.0812519334809621	0.502720979236393_0.497279020763607	
10	112	0.0439481441109761	0.0454240242537279	0.0355748861557555	0.0222907648129462	0.0439481441109761	0.113343806367057	0.055254770265918	0.0239535860430645	0.0603663448761937	0.0229248340761032	0.998993782129294	0.54754146321347	0.689838612343571	0.405619257458787	-725.26417282744	0.0454240242537279_0.0454508109929939	0.500000000000023_0.499999999999977	
8	96	0.0160941036115361	0.0779282478101888	0.00790150690258565	0.0361015781485344	0.836560338669782	0.827221824784211	0.0789829453470222	0.0318004718889605	0.0160941036115361	0.0147544031301452	0.00618947527465896	0.139549576614196	0.921758081007728	0.12587261345671	-584.503701558758	0.00746804615899247_0.0779282478101888	0.499928413418428_0.500071586581572	
9	119	0.0371895283622403	0.0555474574534373	-0.00603709076852175	0.0293666597743443	0.688275623270149	0.837476087014019	0.0512363701824903	0.0263567781857178	0.0371895283622403	0.0542814600537627	0.00117166409850422	0.146658482770824	0.754331933958912	0.103214459689249	-755.195330049574	-0.0118108237462261_0.0555474574534373	0.499094965053905_0.500905034946095	
