simNum	IVsNum	plei_test	P	eff
61	91	0.206	1.23892593237003e-14	0.146844186280401	
33	94	0.463	1.13457970285605e-21	0.190507563447005	
55	97	0.002	5.06056080397678e-14	0.163159833237628	
73	98	0.644	2.72595755548771e-16	0.139597121159997	
49	91	0.029	9.28211074880844e-13	0.137142738170361	
29	94	0.625	8.57900346933502e-20	0.170122921661214	
1	102	0.366	3.51181499064681e-17	0.142601471560857	
65	98	0.193	8.00006365372041e-19	0.171052340600594	
67	100	0.76	9.59401019395337e-17	0.134670257873845	
83	96	0.071	1.40081757414542e-15	0.15744636431556	
89	103	0.818	3.08872324795928e-23	0.171658952185096	
69	102	0.61	3.78882122574461e-17	0.143931743659806	
91	101	0.973	6.09033900712361e-22	0.148918523972989	
57	100	0.426	8.60259133386016e-17	0.147356290761807	
11	103	0.881	1.96239512344702e-25	0.18326223297803	
17	107	0.969	3.1420861651254e-21	0.149293120106789	
99	100	0.499	9.9038277265252e-17	0.147484091605296	
23	105	0.249	3.42403175867487e-15	0.136140524816943	
93	109	0.66	1.78980941139223e-20	0.151275696230599	
7	107	0.952	1.05663155793757e-23	0.164663521951848	
53	102	0.393	1.5587298959858e-15	0.134603694151138	
15	105	0.827	8.46001180036379e-20	0.14884939632963	
41	101	0.282	7.13318751857968e-15	0.13528327637181	
43	100	0.198	2.29790465678755e-17	0.158573458556424	
79	108	0.977	9.61455572855132e-28	0.17550448675417	
13	110	0.477	3.28951013608355e-19	0.154963552899474	
75	103	0.02	3.7305337392109e-15	0.148596839080885	
59	110	0.748	1.84573416143362e-20	0.14869979620419	
25	102	0.263	1.40838296880662e-18	0.158761643458151	
85	107	0.008	1.51099646405734e-12	0.133599276897803	
37	106	0.435	7.73053458705748e-21	0.165658501357207	
3	114	0.7	2.82567684590804e-24	0.16624178813506	
21	107	0.92	1.29595826821989e-24	0.170425871051241	
35	110	0.549	1.30919602394263e-20	0.156250553425141	
97	113	0.552	1.42625463407166e-22	0.162022532076499	
39	115	0.995	5.47585104090849e-31	0.173548165152448	
27	111	0.069	1.00908787717493e-15	0.138923069937179	
95	111	0.655	3.45924043467985e-21	0.157376429800554	
77	110	0.272	1.41835746220319e-21	0.174440131909541	
87	111	0.621	1.2496920205834e-15	0.121597707144932	
63	114	0.36	5.65550986416347e-25	0.182095346601636	
